subfamily	orientation	family	n_copies_with_reads	chr_mean	cyto_mean	chrRNA_neb_mean	log2_retention_rep1	log2_retention_rep2	log2_retention	reps_agree
L1PBb	sense	L1	62	1356.9647	47.3067	583.2327	10.5106	3.7167	7.1137	yes
L1P4e	antisense	L1	62	79.5446	0.0000	115.4204	6.3728	6.2894	6.3311	yes
L1M2b	sense	L1	47	302.2365	6.7581	960.0722	8.3030	4.3236	6.3133	yes
AluYi6_4d	antisense	Alu	43	35.6662	0.0000	64.2461	5.1262	5.2633	5.1947	yes
L1M2c	sense	L1	95	5212.5064	201.3668	3224.5284	5.2232	4.2598	4.7415	yes
L1PA8A	sense	L1	707	19431.8582	976.5667	9933.3074	5.2318	3.7727	4.5022	yes
L1P	sense	L1	13	71.2778	6.7581	10.6404	6.0959	2.3914	4.2436	yes
L1P4d	sense	L1	30	186.7456	10.5983	194.4977	4.4458	3.6821	4.0639	yes
L1P4c	antisense	L1	7	15.1385	0.0000	51.8123	3.8194	4.1827	4.0010	yes
L1PA15	sense	L1	2169	44928.9797	3060.6123	24476.4676	4.0961	3.6752	3.8857	yes
L1P4a	sense	L1	137	2610.8199	178.1746	1112.3248	4.1507	3.6040	3.8774	yes
L1MCb	sense	L1	436	7886.1027	567.3921	4064.7721	4.2548	3.3928	3.8238	yes
L1PA7	sense	L1	4468	97217.4162	6933.4501	46666.0288	4.0022	3.6448	3.8235	yes
L1MA3	sense	L1	2356	56559.2391	4137.6429	22502.8552	4.0521	3.5243	3.7882	yes
L1P	antisense	L1	15	50.0946	6.7581	107.0017	5.7036	1.7865	3.7450	yes
L1MA4A	sense	L1	1574	34150.7696	2782.5935	14094.3421	3.9472	3.3202	3.6337	yes
L1MEb	sense	L1	460	5434.7277	488.4567	2529.4817	2.9959	4.2678	3.6319	yes
L1M3c	sense	L1	219	2142.8791	172.3388	1651.3952	3.6716	3.5859	3.6288	yes
L1PA6	sense	L1	2548	52395.2727	4473.3859	23237.2993	3.9388	3.2683	3.6036	yes
L1M3e	sense	L1	179	3542.1858	293.6820	1706.1319	3.7254	3.4533	3.5893	yes
L1PA5	sense	L1	5011	66550.4462	5735.0615	33170.1781	3.7568	3.3617	3.5593	yes
L1PA14	sense	L1	891	15478.2703	1342.7580	7847.0664	3.8432	3.2603	3.5517	yes
L1MA5	sense	L1	1101	21555.7295	1911.5261	5887.9926	4.0376	3.0578	3.5477	yes
L1M4a1	sense	L1	648	9797.3792	850.4759	3833.5053	3.8447	3.2383	3.5415	yes
L1P3	sense	L1	891	20841.3234	1863.2972	6162.6739	3.9162	3.1520	3.5341	yes
L1M2a1	sense	L1	34	1351.7729	123.3389	226.1861	4.0513	2.9808	3.5161	yes
L1PB3	sense	L1	847	13689.3099	1354.1124	8527.9193	4.0671	2.8401	3.4536	yes
L1PA4	sense	L1	5874	68059.1381	6323.6502	28963.3902	3.6627	3.2411	3.4519	yes
L1PA13	sense	L1	2257	33820.0504	3173.0357	21850.1753	3.7631	3.1231	3.4431	yes
L1PA15-16	sense	L1	348	5059.2806	472.7788	3369.0919	3.5532	3.2837	3.4184	yes
L1PB1	sense	L1	3432	46869.0623	4496.1539	30568.6778	3.5593	3.2147	3.3870	yes
L1PA14	antisense	L1	921	5970.4974	575.6922	11380.7755	3.4058	3.3369	3.3713	yes
L1M3f	sense	L1	191	2009.6154	216.8787	1101.0706	4.0108	2.6983	3.3546	yes
L1PA11	sense	L1	1174	14527.4178	1460.7295	7826.7179	3.4111	3.2211	3.3161	yes
L1PA16	sense	L1	3593	56924.7123	6232.8918	30500.0605	3.4161	2.9849	3.2005	yes
L1MEj	sense	L1	608	7343.4584	826.5127	3201.5728	3.5087	2.8557	3.1822	yes
L1MA10	sense	L1	976	9145.1861	1026.6548	3840.0058	3.4027	2.9289	3.1658	yes
L1PA3	sense	L1	6449	60513.6598	6811.3359	21890.5393	3.3097	3.0217	3.1657	yes
L1M2a	sense	L1	119	1272.0975	142.5397	756.0618	3.4010	2.9228	3.1619	yes
L1PB	sense	L1	438	3497.2359	412.1072	2960.2163	3.1767	2.9906	3.0836	yes
