subfamily	orientation	family	baseMean	log2FoldChange	lfcSE	pvalue	padj
L1P4e	antisense	L1	13.8896898856353	4.3975723218613	1.72951631516907	0.0110012153400565	0.0155922737103163
L1M2b	sense	L1	45.7064867852939	4.25797844290901	1.44811069167278	0.00327822570256097	0.00410836652677361
L1PBb	sense	L1	212.143345666343	3.37915500290057	1.27613509864657	0.00809790484954697	0.0097827038450903
AluYi6_4d	antisense	Alu	6.23754347858185	3.2427495641164	2.059214496513	0.115313989465855	0.147209348254283
L1M2c	sense	L1	827.336051157238	3.13324514218312	0.283721179327503	2.35945509704143e-28	5.66269223289944e-28
L1PA8A	sense	L1	3180.9905465035	2.73077033565253	0.470762852172443	6.60250543346249e-09	1.00716184578241e-08
L1P4d	sense	L1	31.1375672771194	2.5847423777903	1.14849141972734	0.0244137765479697	0.0285355829781464
L1PA14	antisense	L1	1245.05746708982	2.34847639421145	0.170715549994504	4.64472142053777e-43	3.3441994227872e-42
L1P4a	sense	L1	448.735021081377	2.26309572825254	0.2958181064576	2.00519044155631e-14	3.72097195340347e-14
L1P	antisense	L1	11.034569168032	2.26305219835443	1.68655412443329	0.179654338268251	0.214157489326392
L1PA15	sense	L1	7724.53754837947	2.25506801643548	0.100649139904362	3.49912758757736e-111	1.79955133075407e-110
L1MCb	sense	L1	1366.43429333195	2.20014240566593	0.226473205975086	2.60754737607513e-22	5.587601520161e-22
L1PA7	sense	L1	16858.6034272888	2.18609049833891	0.128162441667604	3.09094643413958e-65	1.09092227087279e-64
L1P	sense	L1	12.9460070076435	2.15333558288565	1.6359766493123	0.188093978285198	0.207711141664635
L1MA3	sense	L1	9844.84237333643	2.15250452987087	0.12610785423978	2.53533369632084e-65	9.12720130675504e-65
L1M2b	antisense	L1	80.8776982583738	2.03786388594281	0.601835932174943	0.000708990240148947	0.00120394569081897
L1P4c	antisense	L1	2.65198666460405	2.00899348992391	2.6889975705421	0.454993457406552	0.50554828600728
L1MA4A	sense	L1	6066.1255951144	1.99912484292871	0.147031493915201	4.19624738416812e-42	1.2182653695972e-41
L1M3c	sense	L1	380.566597982249	1.98608266669934	0.293306960341522	1.27590466337429e-11	2.0690345892556e-11
L1PA8A	antisense	L1	1204.12625086211	1.95959333448568	0.159932834990321	1.62691408531229e-34	9.76148451187372e-34
L1M3e	sense	L1	632.412709990607	1.9549692336469	0.23060575468295	2.30007661774542e-17	4.50014990428452e-17
L1PA6	sense	L1	9397.71985108969	1.93922854325502	0.265518712734585	2.80277766232312e-13	4.94607822762904e-13
L1PA14	sense	L1	2786.01638902134	1.92186017560125	0.161802419138376	1.54338180933728e-32	4.02621341566246e-32
L1M4a1	sense	L1	1763.36270106196	1.91815669515055	0.166319506783284	8.99923088214433e-31	2.28149515321969e-30
L1PA5	sense	L1	11973.85010793	1.91750903385407	0.183500918018506	1.4716276309503e-25	3.39606376373147e-25
L1M2a1	sense	L1	245.413807949285	1.90396176177854	0.383300867224678	6.78994036444732e-07	1.00179448000042e-06
AluYk12	antisense	Alu	16.835259911649	1.89971701458211	1.27241337037172	0.135436394336232	0.16929549292029
L1MA5	sense	L1	3890.88298238583	1.88789346777899	0.258109854863649	2.58722386448022e-13	4.61089401590535e-13
L1P3	sense	L1	3772.70013434934	1.87787340785513	0.243366168343082	1.19805262017494e-14	2.24634866282801e-14
L1PA4	sense	L1	12444.5068295139	1.80875759998284	0.183227204793125	5.52399101032044e-23	1.1979739540454e-22
L1PA13	sense	L1	6190.4605783098	1.79921521853496	0.179075216933683	9.44574824808712e-24	2.07345693250693e-23
L1PA15-16	sense	L1	926.814831953122	1.78213195374909	0.18755522309866	2.06084707022339e-21	4.3134008446536e-21
L1MEb	sense	L1	993.647574464037	1.7743416743192	0.541993963337496	0.00106138128698373	0.00137445058746094
L1PB1	sense	L1	8634.27790718995	1.75338729211671	0.081827333752255	7.3429818170156e-102	3.47825454490213e-101
L1PB3	sense	L1	2529.45306914677	1.74247298592428	0.377024698434164	3.80715550697506e-06	5.43879358139294e-06
L1PA11	sense	L1	2707.94853627984	1.67948734469256	0.11903361123975	3.32611416148478e-45	1.03224232597804e-44
L1M3f	sense	L1	379.014044369045	1.66442345180213	0.431308723088405	0.000113848601286082	0.000152930956951453
L1PA6	antisense	L1	4388.1649398369	1.60665201418532	0.0878386524221234	9.77054012908852e-75	1.59881565748721e-73
L1PA16	sense	L1	10821.8571977566	1.56570942353708	0.0970287578081119	1.41216833573697e-58	4.88827500832029e-58
L1MEj	sense	L1	1404.22526812357	1.55469875639064	0.190330109887085	3.12420743396911e-16	5.91955092752042e-16
L1M2a	sense	L1	243.200664342158	1.54807737193295	0.335998749340525	4.07754236239648e-06	5.77919389945958e-06
L1MA10	sense	L1	1749.30310614328	1.54050745572766	0.143110269946755	5.06473609602818e-27	1.18396428218841e-26
L1PA3	sense	L1	11593.5705753775	1.52861303260191	0.160654651802631	1.81886808919078e-21	3.85172065946283e-21
L1PB2	sense	L1	948.172996373895	1.46114868158871	0.178582466979316	2.79340617275215e-16	5.34907564995092e-16
L1PBb	antisense	L1	80.4990715050732	1.45930396586393	0.559050405214036	0.00904559009666843	0.0129222715666692
L1PB	sense	L1	678.603530386628	1.44542621149356	0.200687611045747	5.91753231264099e-13	1.02418828488017e-12
L1P4	sense	L1	1869.62408269335	1.37127927502003	0.152311649878629	2.19402655471372e-19	4.48778158918716e-19
L1PB4	sense	L1	3644.31723554882	1.36876081445688	0.25801990815566	1.12756329775903e-07	1.69134494663855e-07
L1MCa	sense	L1	4016.43677973383	1.36182284867486	0.0952796963173021	2.42317073178191e-46	7.65211810036394e-46
L1PB3	antisense	L1	1508.19431880659	1.36113390858663	0.139623674308118	1.87048696704173e-22	7.0143261264065e-22
L1MC2	sense	L1	3788.7026725968	1.34054734219539	0.111632216761041	3.20195712092476e-33	8.60227286218593e-33
L1MA4	sense	L1	8220.97550228158	1.33680859962799	0.123003376243198	1.63635753107238e-27	3.87558362622405e-27
L1PBa	sense	L1	1641.7407942193	1.33192804845092	0.324139224748101	3.97163953265685e-05	5.54182260370724e-05
L1PA7	antisense	L1	8042.70238058428	1.32934898490159	0.069211444424409	3.2299497930645e-82	7.26738703439513e-81
L1PA8	sense	L1	4002.06896802026	1.31853886568874	0.224590024752199	4.33513799158591e-09	6.66944306397832e-09
L1MA1	antisense	L1	2011.18380852211	1.31831018857201	0.117616299859904	3.70136811886247e-29	1.66561565348811e-28
L1MA1	sense	L1	2641.08553606178	1.30928961613684	0.117587869674725	8.51610699088422e-29	2.07148548426913e-28
L1PA5	antisense	L1	5865.83549396116	1.29535752244802	0.0865337970673955	1.16396655226576e-50	9.52336270035622e-50
L1MA4A	antisense	L1	2573.39305062875	1.28245756586017	0.106649148924489	2.62541902215749e-33	1.47679819996359e-32
L1MEg	sense	L1	8716.11124290172	1.26080112244018	0.13675973137357	2.99614849004395e-20	6.19892791043575e-20
L1M4a2	sense	L1	1150.82956974201	1.24464334114793	0.176581697935957	1.80803454612743e-12	3.01339091021238e-12
L1PA10	sense	L1	6009.9543909404	1.23881380142151	0.107879621756889	1.60057220337894e-30	3.94661639189328e-30
L1MC2	antisense	L1	2774.78756487101	1.23401185820707	0.109213218517741	1.32558848488638e-29	6.11810069947562e-29
L1PA13	antisense	L1	2914.08850138628	1.19918933802211	0.130334870512539	3.55186504114611e-20	1.2786714148126e-19
L1P3	antisense	L1	1014.04364534082	1.19501191528903	0.206358221674025	6.99858344628617e-09	1.49969645277561e-08
L1M3de	sense	L1	271.568302746741	1.18579770970999	0.404622235393929	0.00338276368989928	0.00419929285642669
L1M8	sense	L1	1585.71393107023	1.18103750842567	0.173698823037422	1.0509887238962e-11	1.71979973001196e-11
L1MEg2	sense	L1	154.897496360961	1.17266643222787	0.430799652325199	0.00648745711308819	0.00789015054294509
L1MA9	sense	L1	7020.82510224804	1.17225432964753	0.154850034808935	3.7249084478995e-14	6.8416685777746e-14
L1PREC2	sense	L1	6525.32769561023	1.17085179758007	0.101682667212127	1.1116495868126e-30	2.77912396703149e-30
L1P4	antisense	L1	872.052466984547	1.16440265071815	0.244829504660182	1.97492319054274e-06	3.90644147579882e-06
L1PBa	antisense	L1	816.083644175526	1.1617960429862	0.185871441699863	4.09047766854266e-10	9.68797342549577e-10
L1PB1	antisense	L1	5424.65564030332	1.15867792246446	0.0801375176081942	2.21187838064253e-47	1.6589087854819e-46
L1PREC2	antisense	L1	2601.58987093735	1.1563266200314	0.101655826169928	5.57556552413793e-30	2.71243728201305e-29
L1M6	antisense	L1	1057.65017737657	1.15236598595992	0.157782828760547	2.80388819971648e-13	7.76461347613794e-13
L1MEi	sense	L1	3482.27089765026	1.15197453289413	0.0968838801071578	1.32991794474285e-32	3.52037103020167e-32
L1MC1	sense	L1	6717.45726296874	1.13855592833349	0.0827790005901145	4.80808081445368e-43	1.41877794524863e-42
L1M7	sense	L1	1879.69173115865	1.10850297649376	0.124238712514869	4.56440523418653e-19	9.23138137251209e-19
L1M3de	antisense	L1	72.4429708254493	1.09537356112034	0.551949127727108	0.0471939708909863	0.0648466775601339
L1M2c	antisense	L1	70.2785451321583	1.07500317911868	0.614492587309644	0.0802191329264723	0.10775704422959
L1MA3	antisense	L1	4407.35396052507	1.06764751044701	0.0843517679545773	1.02224876725452e-36	6.81499178169683e-36
L1MEc	sense	L1	12456.5223434757	1.06245936632055	0.141973903516624	7.23779863411242e-14	1.30280375414024e-13
L1PA4	antisense	L1	6602.61815278017	1.05724913541051	0.0925447033367891	3.16559843487559e-30	1.62802205222173e-29
L1MA4	antisense	L1	3522.72978211314	1.05222112198679	0.0913943751256493	1.13494850156762e-30	6.00855089065208e-30
L1P1	antisense	L1	1150.75216841399	1.02813228763523	0.144740581542406	1.21833817877377e-12	3.22501282616586e-12
L1PA11	antisense	L1	1932.17361430448	1.01513555392503	0.113974244078106	5.25692750640174e-19	1.78537160594776e-18
L1MEb	antisense	L1	419.469843794396	1.00779061246545	0.323587011961235	0.00184297757582008	0.00288466055345752
L1MA7	antisense	L1	2746.03256747154	1.00652649071918	0.102070017130834	6.13502676171915e-23	2.34958471725414e-22
L1P5	sense	L1	156.2618796432	1.00052065797356	0.380487965531152	0.00854923220647287	0.0102590786477674
L1M3d	sense	L1	148.494975121628	0.997575449375825	0.397020296798755	0.0119826098081119	0.0141899326675009
L1PA17	antisense	L1	2159.26662117522	0.96005068607072	0.109181338935715	1.4539096188307e-18	4.75824966162776e-18
L1PB4	antisense	L1	1773.57140861815	0.951278019815941	0.117565951443114	5.89627050244542e-16	1.79886218718674e-15
L1M2a1	antisense	L1	50.8636308293733	0.932682245658886	0.637623047975602	0.14353617166917	0.178182833796211
L1MEf	sense	L1	8299.33114582147	0.931082652675218	0.0715041643716967	9.24883344753807e-39	2.60123440712008e-38
L1PA16	antisense	L1	4815.00924447589	0.930797140781686	0.0850541248001486	7.13217763190135e-28	3.13119993595669e-27
L1P5	antisense	L1	56.5348244485573	0.921747951030428	0.646992726618506	0.154254034981837	0.188882491814494
L1MC1	antisense	L1	5980.20701739526	0.919619738417565	0.0811132446846115	8.55738127254802e-30	4.05349639225959e-29
L1HS	sense	L1	3463.69189034036	0.899241586149873	0.136684149543754	4.73702789536717e-11	7.61308054612581e-11
L1MEg1	sense	L1	342.679186103152	0.892589467497685	0.432914584262782	0.0392254219585964	0.0455521029196603
L1MEi	antisense	L1	826.061619117133	0.875884349301897	0.220861235338443	7.31600948980269e-05	0.000133018354360049
L1MA6	sense	L1	2818.46232352002	0.871481530209482	0.144326366330978	1.55775513144977e-09	2.43822542313877e-09
L1MA5A	sense	L1	2086.95744755267	0.856741002409708	0.283318864437057	0.00249500806535228	0.00316268628002402
L1ME2	sense	L1	5721.78230265331	0.842932311438441	0.100929867361809	6.73080656846563e-17	1.3027367551869e-16
L1MEj	antisense	L1	370.069870617378	0.838293317832965	0.237041153908846	0.00040548413488181	0.000701799464218517
L1M3e	antisense	L1	243.313184410529	0.819440166258922	0.290032687473309	0.00472308696422078	0.00696848896360442
L1PA15	antisense	L1	3445.33795899794	0.817733463369498	0.110740534881247	1.53339392751843e-13	4.38112550719552e-13
L1MA9	antisense	L1	4250.85504433322	0.813102331205072	0.0881380295351996	2.82691379569593e-20	1.03845812903116e-19
