subfamily	orientation	family	K562_chrRNA_rep1	K562_chrRNA_rep2	K562_chr_Takara_rep1	K562_chr_Takara_rep2	K562_cyto_Takara_rep1	K562_cyto_Takara_rep2
Alu	antisense	Alu	15702	12033	3887	5163	245	120
Alu	sense	Alu	9753	7427	4694	5896	194	133
AluJb	antisense	Alu	1083636	817342	210979	281296	13753	7711
AluJb	sense	Alu	711019	547575	276394	383568	22313	12161
AluJo	antisense	Alu	623021	470239	125769	169092	7826	4479
AluJo	sense	Alu	425514	327745	165962	228473	13147	7563
AluJr	antisense	Alu	691338	520347	139270	186696	8676	4861
AluJr	sense	Alu	473267	367426	188008	257656	13164	7744
AluJr4	antisense	Alu	180074	136769	37900	49453	1641	942
AluJr4	sense	Alu	114945	89686	48852	65456	2679	1416
AluSc	antisense	Alu	185203	147123	50033	68469	3832	2287
AluSc	sense	Alu	96405	80267	55389	79127	22827	11520
AluSc5	antisense	Alu	34599	27801	8763	12280	1001	582
AluSc5	sense	Alu	19094	15924	11861	16485	2259	1323
AluSc8	antisense	Alu	122138	96623	30048	41823	2282	1212
AluSc8	sense	Alu	56077	46931	31357	44924	7629	4386
AluSg	antisense	Alu	219110	174147	53462	74140	5102	2986
AluSg	sense	Alu	111035	90682	65922	95566	26010	14428
AluSg4	antisense	Alu	45969	36966	10233	14373	584	340
AluSg4	sense	Alu	23091	19412	11478	15980	3747	1984
AluSg7	antisense	Alu	46774	37704	10570	15150	686	439
AluSg7	sense	Alu	25009	21390	13006	18558	4537	2683
AluSp	antisense	Alu	305311	248367	71485	101184	6097	3426
AluSp	sense	Alu	167156	137617	97429	140014	29412	16322
AluSq	antisense	Alu	138726	110371	29700	41906	2630	1563
AluSq	sense	Alu	55502	44712	27815	40164	7153	3635
AluSq10	antisense	Alu	10590	8728	2497	3477	169	86
AluSq10	sense	Alu	6373	4893	2706	3728	770	410
AluSq2	antisense	Alu	336722	271131	77007	107335	5522	3371
AluSq2	sense	Alu	205283	167637	103459	151786	25435	13968
AluSq4	antisense	Alu	11709	9207	2957	4220	200	120
AluSq4	sense	Alu	7206	5710	3559	5264	696	408
AluSx	antisense	Alu	722808	563708	161894	226362	12512	6894
AluSx	sense	Alu	376605	303167	185014	266897	48507	26217
AluSx1	antisense	Alu	736213	576080	159406	223821	13187	7143
AluSx1	sense	Alu	363713	297854	180871	263060	47205	25438
AluSx3	antisense	Alu	185557	148502	42252	58035	2983	1753
AluSx3	sense	Alu	100876	82184	49636	71258	12253	6620
AluSx4	antisense	Alu	70163	54490	15250	21119	1034	569
AluSx4	sense	Alu	34578	27618	19102	27443	8449	4543
AluSz	antisense	Alu	689359	535544	151948	208794	11080	6178
AluSz	sense	Alu	359607	292065	178910	256106	33549	17986
AluSz6	antisense	Alu	360872	278823	79785	110077	4656	2561
AluSz6	sense	Alu	204156	163435	90963	129009	10475	5783
AluY	antisense	Alu	444915	355519	126429	180120	9266	5378
AluY	sense	Alu	229772	190441	164750	242882	63584	34787
AluYa5	antisense	Alu	7792	6464	2904	4188	285	183
AluYa5	sense	Alu	5049	4116	28221	33598	33305	18000
AluYa8	antisense	Alu	649	627	185	275	28	12
AluYa8	sense	Alu	424	358	230	301	252	275
AluYb10	antisense	NA	0	0	0	0	0	0
AluYb10	sense	NA	0	0	0	0	0	0
AluYb11	antisense	NA	0	0	0	0	0	0
AluYb11	sense	NA	0	0	0	0	0	0
AluYb8	antisense	Alu	6800	6167	2165	3264	107	59
AluYb8	sense	Alu	4224	3556	3209	4812	2843	1530
AluYb8a1	antisense	NA	0	0	0	0	0	0
AluYb8a1	sense	NA	0	0	0	0	0	0
AluYb9	antisense	Alu	627	543	185	309	9	7
AluYb9	sense	Alu	392	360	194	303	249	86
AluYc	antisense	Alu	16351	13784	5203	7277	268	173
AluYc	sense	Alu	10022	8622	6458	9383	1450	796
AluYc3	antisense	Alu	2617	2186	799	1130	179	107
AluYc3	sense	Alu	1232	1103	1362	2080	540	314
AluYd8	antisense	Alu	554	548	257	343	12	13
