subfamily	orientation	family	n_copies_with_reads	chr_mean	cyto_mean	chrRNA_neb_mean	log2_retention_rep1	log2_retention_rep2	log2_retention	reps_agree
L1MEg1	sense	L1	24	141.8455	0.0000	83.8304	7.1279	7.1881	7.1580	yes
L1P4e	sense	L1	2	128.6176	0.0000	113.1059	7.0512	6.9842	7.0177	yes
L1M3f	sense	L1	19	112.0589	0.0000	116.3889	6.9961	6.6216	6.8088	yes
L1PA15-16	sense	L1	20	109.2286	0.0000	492.8012	6.8167	6.7513	6.7840	yes
L1MCb	sense	L1	55	363.2803	6.7581	442.8160	8.6157	4.5340	6.5748	yes
L1PA14	sense	L1	96	3276.8232	74.1878	778.6943	5.9596	5.0410	5.5003	yes
L1P1	sense	L1	127	2350.6181	76.1835	1629.0095	6.1767	4.2956	5.2361	yes
L1M2c	sense	L1	14	108.2069	3.8402	157.6335	3.6814	6.7421	5.2118	yes
L1PA8A	sense	L1	58	6912.6051	244.8333	2499.8895	5.6486	4.2790	4.9638	yes
L1PA15-16	antisense	L1	20	27.7577	0.0000	71.1768	4.7912	4.8986	4.8449	yes
L1M3d	antisense	L1	13	23.4994	0.0000	56.0180	4.4763	4.7409	4.6086	yes
L1M2a	sense	L1	10	25.4809	0.0000	116.9262	3.9934	5.2108	4.6021	yes
L1M3c	sense	L1	9	97.2176	7.6803	61.6091	2.6512	6.5494	4.6003	yes
L1PB3	antisense	L1	104	185.7641	30.7213	567.4966	1.4540	7.6614	4.5577	yes
L1M8	antisense	L1	28	68.7886	3.8402	151.8385	3.2629	5.8139	4.5384	yes
L1P4	antisense	L1	65	209.9412	42.2418	389.2553	1.2523	7.7698	4.5110	yes
L1PA4	sense	L1	475	9496.1909	483.8308	4338.6475	4.9423	3.8837	4.4130	yes
L1M3b	antisense	L1	6	19.6309	0.0000	8.7741	4.2204	4.4996	4.3600	yes
L1MEf	sense	L1	359	8346.4011	431.6105	3488.8539	4.7742	3.8556	4.3149	yes
L1M6	antisense	L1	145	768.2951	42.3930	709.0124	4.6860	3.7129	4.1994	yes
L1PBa	sense	L1	54	1582.1724	88.6262	2537.8288	4.4332	3.9196	4.1764	yes
L1MEi	sense	L1	176	2665.7542	162.5115	883.9921	3.5668	4.7604	4.1636	yes
L1M	antisense	L1	26	66.3798	6.7581	73.3699	6.0174	2.2693	4.1434	yes
L1PA17	sense	L1	145	2846.1990	163.7362	1134.7304	4.3267	3.9304	4.1285	yes
L1PA13	sense	L1	196	4106.3488	284.4597	3175.1007	5.1197	3.1278	4.1237	yes
L1PA7	sense	L1	433	15457.4022	924.2099	7594.3624	4.0361	4.0886	4.0624	yes
L1P5	sense	L1	10	65.6388	7.6803	48.0761	1.9752	6.1075	4.0413	yes
L1PA5	sense	L1	389	9785.5006	615.0161	4766.7800	3.7710	4.2182	3.9946	yes
L1M3a	sense	L1	20	577.6844	38.5529	116.4959	4.5800	3.4027	3.9914	yes
L1MA2	sense	L1	177	3608.7543	240.8419	1226.4100	4.3238	3.5556	3.9397	yes
L1M4a2	sense	L1	52	607.6083	39.4751	276.2734	4.0046	3.8150	3.9098	yes
L1MA3	sense	L1	259	8127.3504	581.9818	3050.9965	4.3850	3.3505	3.8678	yes
L1P4	sense	L1	74	2413.4288	167.5764	686.4948	4.1114	3.5892	3.8503	yes
AluYi6	antisense	Alu	15	41.5464	3.8402	27.6411	2.4271	5.2633	3.8452	yes
L1PB4	sense	L1	178	3753.5654	284.3084	1464.2042	4.4712	3.1830	3.8271	yes
L1PA6	sense	L1	191	1904.6070	147.4533	1354.6475	4.3331	3.2464	3.7897	yes
L1M4a1	sense	L1	83	1647.2014	145.6089	568.4801	4.7775	2.7788	3.7782	yes
L1MEj	sense	L1	73	387.5607	34.7127	163.1697	4.6017	2.7864	3.6940	yes
L1MA4A	sense	L1	209	3716.2597	292.7597	1382.1916	3.8632	3.4757	3.6694	yes
L1PA8A	antisense	L1	73	950.7858	103.2159	1518.0450	4.9037	2.4327	3.6682	yes
L1PA11	sense	L1	132	1911.6864	156.8269	1103.7319	3.3139	3.9580	3.6359	yes
L1MA3	antisense	L1	204	1580.6356	136.8551	1878.2036	4.2545	3.0093	3.6319	yes
L1PB1	sense	L1	390	4469.2753	366.6450	5107.8878	3.4846	3.7517	3.6182	yes
L1M8	sense	L1	28	573.4227	49.1511	100.2403	4.2872	2.9488	3.6180	yes
L1MB1	sense	L1	148	1743.4303	145.3064	1075.7506	3.3948	3.7940	3.5944	yes
L1M4c	sense	L1	58	298735.3007	28763.8963	13057.4075	4.2271	2.8635	3.5453	yes
L1MEb	sense	L1	51	422.1987	38.5529	428.7335	4.0965	2.9823	3.5394	yes
L1PB2	sense	L1	64	916.1498	90.6219	621.8381	4.2657	2.7698	3.5178	yes
L1M1	antisense	L1	203	1432.7784	168.1961	3738.4951	2.4402	4.3549	3.3975	yes
