subfamily	orientation	family	K562_chrRNA_rep1	K562_chrRNA_rep2	K562_chr_Takara_rep1	K562_chr_Takara_rep2	K562_cyto_Takara_rep1	K562_cyto_Takara_rep2
Alu	antisense	Alu	2020	1294	410	615	15	13
Alu	sense	Alu	2331	1603	1681	1965	25	41
AluJb	antisense	Alu	113647	85388	24080	32154	1849	1096
AluJb	sense	Alu	77039	58632	32085	43442	2606	1483
AluJo	antisense	Alu	61857	45320	12702	16966	1142	592
AluJo	sense	Alu	47881	36852	21341	28797	1909	1133
AluJr	antisense	Alu	74427	55984	16197	21518	1670	979
AluJr	sense	Alu	58432	44963	23223	31919	2096	1235
AluJr4	antisense	Alu	15059	11725	3658	4556	242	106
AluJr4	sense	Alu	12540	9805	5903	7883	592	312
AluSc	antisense	Alu	18487	14842	5141	7115	832	529
AluSc	sense	Alu	10917	8962	7557	10946	12953	6057
AluSc5	antisense	Alu	3010	2364	666	984	47	25
AluSc5	sense	Alu	2933	2206	1131	1801	159	127
AluSc8	antisense	Alu	12720	10162	3118	4406	250	114
AluSc8	sense	Alu	6756	5916	4118	5984	1038	595
AluSg	antisense	Alu	22330	17543	5939	8141	941	672
AluSg	sense	Alu	13645	11008	8775	12583	2091	1258
AluSg4	antisense	Alu	4165	3613	970	1392	104	63
AluSg4	sense	Alu	3889	3174	2072	2906	510	263
AluSg7	antisense	Alu	5388	4043	1141	1572	97	95
AluSg7	sense	Alu	3136	2591	1586	2343	591	333
AluSp	antisense	Alu	28970	22618	7375	10368	691	363
AluSp	sense	Alu	19123	16069	12458	18151	3141	1863
AluSq	antisense	Alu	11618	9314	3003	3972	560	278
AluSq	sense	Alu	8261	6094	4096	5799	665	400
AluSq10	antisense	Alu	1172	973	360	488	20	24
AluSq10	sense	Alu	844	720	516	709	63	14
AluSq2	antisense	Alu	34819	27959	7777	10765	853	523
AluSq2	sense	Alu	24516	19558	10716	15705	2331	1288
AluSq4	antisense	Alu	1763	1206	295	448	11	13
AluSq4	sense	Alu	574	452	275	390	31	43
AluSx	antisense	Alu	74747	57121	19365	26864	1910	1075
AluSx	sense	Alu	48806	39291	24448	35791	6232	3356
AluSx1	antisense	Alu	79927	61744	19157	27476	2602	1451
AluSx1	sense	Alu	44494	35233	21973	31823	5067	2826
