subfamily	orientation	family	n_copies_with_reads	chr_mean	cyto_mean	chrRNA_neb_mean	log2_retention_rep1	log2_retention_rep2	log2_retention	reps_agree
L1PBa	sense	L1	11	84.4577	0.0000	137.6746	6.5504	6.2703	6.4104	yes
L1P2	sense	L1	14	76.3237	0.0000	41.2669	6.2496	6.2957	6.2727	yes
L1PA14	sense	L1	16	59.9532	0.0000	44.5627	5.8690	5.9878	5.9284	yes
L1ME3C	sense	L1	16	45.1887	0.0000	10.9094	5.6396	5.4103	5.5249	yes
L1PA8	sense	L1	18	223.6294	13.5162	168.6493	7.7172	3.0908	5.4040	yes
L1P3	sense	L1	13	27.4454	0.0000	0.5010	5.0095	4.6253	4.8174	yes
L1MA4A	antisense	L1	21	246.5890	38.4016	437.9117	1.7163	7.9040	4.8102	yes
L1M6	sense	L1	16	26.9622	0.0000	11.1278	4.7432	4.8650	4.8041	yes
L1PA5	sense	L1	58	160.3837	42.2418	35.5045	0.9778	7.2706	4.1242	yes
L1PA7	sense	L1	54	930.3422	95.5355	243.2796	5.8651	2.3630	4.1141	yes
L1PB	sense	L1	7	42.4281	3.8402	30.6672	2.2955	5.4673	3.8814	yes
L1MA1	sense	L1	9	12.5804	0.0000	0.9492	3.5114	3.9779	3.7447	yes
L1MA4A	sense	L1	12	11.6133	0.0000	4.0281	3.3922	3.8805	3.6363	yes
L1PA17	sense	L1	15	45.8363	7.6803	24.5430	1.5127	5.5542	3.5335	yes
L1MB1	sense	L1	27	45.0717	7.6803	7.0669	1.6204	5.3868	3.5036	yes
L1M6B	sense	L1	6	10.2872	0.0000	0.4482	3.6215	3.3598	3.4907	yes
L1PB3	sense	L1	9	25.8156	3.8402	4.1465	1.6496	4.7223	3.1859	yes
L1PA8A	sense	L1	7	7.3858	0.0000	0.2241	3.2622	2.8435	3.0528	yes
L1MA2	sense	L1	21	32.0081	7.6803	40.1392	1.0752	4.9793	3.0272	yes
L1MA6	sense	L1	48	32.1402	7.6803	7.4687	1.3344	4.6452	2.9898	yes
L1MCc	sense	L1	8	6.8165	0.0000	0.1120	3.1925	2.6985	2.9455	yes
L1PA15-16	sense	L1	9	6.2004	0.0000	18.8263	2.7825	2.9109	2.8467	yes
L1PB3	antisense	L1	16	1289.9401	185.7037	1649.5818	2.6021	3.0310	2.8166	yes
L1P4a	antisense	L1	4	77.2751	10.5983	132.7395	3.1988	2.4043	2.8016	yes
L1PBa1	sense	L1	10	6.0210	0.0000	4.4234	3.0422	2.5372	2.7897	yes
L1MD	sense	L1	39	240.8014	48.2289	27.4427	3.9761	1.4618	2.7189	yes
L1M8	sense	L1	3	5.6390	0.0000	81.9791	2.3423	3.0369	2.6896	yes
L1PB2	sense	L1	7	5.3425	0.0000	0.0000	2.7825	2.5372	2.6598	yes
L1PA14	antisense	L1	20	224.8444	35.6349	577.0165	2.9048	2.3656	2.6352	yes
L1M3f	sense	L1	6	22.9458	6.7581	7.6664	4.2550	0.9883	2.6217	yes
L1MEb	sense	L1	5	5.3346	0.0000	3.6191	3.0422	2.1479	2.5950	yes
L1MC2	sense	L1	18	23.6315	7.6803	1.8984	0.8280	4.3376	2.5828	yes
L1MD1	sense	L1	28	28.0226	11.5205	4.2586	0.3809	4.7409	2.5609	yes
L1MEg2	sense	L1	6	5.0696	0.0000	0.9228	2.2075	2.9109	2.5592	yes
SVA_B	sense	SVA	7	5.4753	0.0000	1.4830	1.8930	3.2074	2.5502	yes
L1P5	antisense	L1	6	16.0898	3.8402	11.5032	1.0309	4.0395	2.5352	yes
L1MEj	antisense	L1	10	25.4960	11.5205	234.1274	-0.0536	4.8986	2.4225	NO
L1M3	sense	L1	27	20.7459	7.6803	5.6952	0.5296	4.3129	2.4212	yes
L1HS	sense	L1	24	388.4911	76.9545	108.9152	1.8563	2.9099	2.3831	yes
L1M3e	sense	L1	3	4.3287	0.0000	2.4651	2.0588	2.6985	2.3786	yes
AluYh9	antisense	Alu	1	4.6482	0.0000	31.6292	3.0422	1.6131	2.3276	yes
L1PA13	sense	L1	28	132.9081	44.3887	304.8137	3.8210	0.8220	2.3215	yes
L1PA6	antisense	L1	43	661.0789	146.2286	1595.9363	1.9235	2.5089	2.2162	yes
L1PA8A	antisense	L1	14	129.9371	33.6392	221.7834	1.0357	3.3654	2.2006	yes
L1PA4	sense	L1	74	360.5131	153.4404	89.5898	3.9302	0.3239	2.1271	yes
L1ME3C	antisense	L1	29	180.2874	42.3930	232.7157	2.5692	1.6625	2.1158	yes
L1M3c	sense	L1	11	79.4585	18.2786	14.5421	1.8695	2.3316	2.1006	yes
AluYk3	antisense	Alu	10	15.5047	7.6803	43.2188	0.2896	3.7017	1.9957	yes
AluYe6	antisense	Alu	2	2.9559	0.0000	0.7251	2.0588	1.9052	1.9820	yes
L1ME3G	sense	L1	104	143.8422	52.8400	35.3796	0.5955	3.3588	1.9771	yes
L1PA11	sense	L1	20	59.5712	14.4384	47.4359	1.7565	2.1818	1.9692	yes
L1PA16	sense	L1	72	115.7335	28.8768	165.2044	1.8636	2.0740	1.9688	yes
L1MC1	sense	L1	45	184.8739	47.1554	100.8598	1.7676	2.1569	1.9623	yes
L1MA7	sense	L1	16	10.5679	3.8402	2.9333	0.6061	3.3108	1.9584	yes
L1MA5A	sense	L1	8	34.0751	40.5486	0.8636	5.0494	-1.1484	1.9505	NO
L1P1	sense	L1	18	14.5613	7.6803	6.9278	-0.1231	4.0090	1.9429	NO
L1MA5A	antisense	L1	21	98.9809	44.3887	248.6802	3.4465	0.3595	1.9030	yes
L1PA2	sense	L1	157	2849.6292	781.5190	513.3183	1.6517	2.0894	1.8706	yes
L1PA15-16	antisense	L1	9	34.8233	10.5983	147.7654	2.2801	1.0223	1.6512	yes
L1MC2	antisense	L1	45	405.0443	133.7859	532.0286	1.6139	1.5630	1.5885	yes
L1ME3F	sense	L1	29	42.2019	103.6844	32.3593	-2.3051	5.4673	1.5811	NO
