subfamily	orientation	family	K562_chrRNA_rep1	K562_chrRNA_rep2	K562_chr_Takara_rep1	K562_chr_Takara_rep2	K562_cyto_Takara_rep1	K562_cyto_Takara_rep2
Alu	antisense	Alu	1711	1357	403	536	137	43
Alu	sense	Alu	29	9	43	60	8	1
AluJb	antisense	Alu	83500	60731	19582	25753	4975	2813
AluJb	sense	Alu	1748	1269	1684	2286	382	200
AluJo	antisense	Alu	48135	35167	13345	17208	2773	1582
AluJo	sense	Alu	1860	1366	1303	1797	376	216
AluJr	antisense	Alu	54322	38955	12691	16259	2650	1523
AluJr	sense	Alu	1664	1245	2044	2538	454	212
AluJr4	antisense	Alu	12309	9394	2727	3401	450	328
AluJr4	sense	Alu	161	107	274	354	56	20
AluSc	antisense	Alu	15057	12106	4460	6046	1177	669
AluSc	sense	Alu	269	204	346	472	173	95
AluSc5	antisense	Alu	1725	1270	518	685	533	302
AluSc5	sense	Alu	37	49	44	86	36	14
AluSc8	antisense	Alu	10228	7857	3137	4456	942	498
AluSc8	sense	Alu	120	95	492	566	198	123
AluSg	antisense	Alu	18594	14535	5445	7478	2045	1156
AluSg	sense	Alu	496	393	852	1070	553	319
AluSg4	antisense	Alu	3007	2177	760	1036	91	64
AluSg4	sense	Alu	12	33	69	81	46	16
AluSg7	antisense	Alu	2792	2052	684	1075	204	91
AluSg7	sense	Alu	136	114	66	107	36	28
AluSp	antisense	Alu	25541	20569	6878	9444	1951	1103
AluSp	sense	Alu	637	434	1239	1564	814	418
AluSq	antisense	Alu	8530	6788	1943	2681	765	461
AluSq	sense	Alu	147	121	230	286	266	119
AluSq10	antisense	Alu	405	303	89	146	28	21
AluSq10	sense	Alu	4	8	12	12	2	3
AluSq2	antisense	Alu	28935	22743	7140	9476	1512	982
AluSq2	sense	Alu	464	337	884	1077	388	263
AluSq4	antisense	Alu	1318	946	318	473	72	37
AluSq4	sense	Alu	18	26	32	54	8	6
AluSx	antisense	Alu	52632	39862	13076	17556	3764	2193
AluSx	sense	Alu	874	776	1576	2214	1171	636
AluSx1	antisense	Alu	47794	36490	11769	16064	2865	1712
AluSx1	sense	Alu	1447	1112	1733	2211	978	494
AluSx3	antisense	Alu	14138	10945	3162	4601	1014	564
AluSx3	sense	Alu	245	222	377	534	282	125
AluSx4	antisense	Alu	4243	3090	1149	1607	347	192
AluSx4	sense	Alu	158	107	150	183	115	54
AluSz	antisense	Alu	46431	34980	12282	16185	3763	2183
AluSz	sense	Alu	926	707	1513	1963	709	374
AluSz6	antisense	Alu	26336	20270	6201	8249	1229	696
AluSz6	sense	Alu	458	365	721	965	195	94
AluY	antisense	Alu	30201	22400	13544	18726	2621	1556
AluY	sense	Alu	1315	1097	1756	2316	1341	757
AluYa5	antisense	Alu	292	197	68	112	12	15
AluYa5	sense	Alu	4	4	19	31	159	81
AluYa8	antisense	Alu	46	45	19	19	21	6
AluYa8	sense	Alu	0	2	0	0	2	3
AluYb8	antisense	Alu	170	144	52	46	12	8
AluYb8	sense	Alu	4	3	9	7	12	4
AluYb9	antisense	Alu	42	35	19	19	2	4
AluYb9	sense	Alu	0	0	3	3	3	4
AluYc	antisense	Alu	577	529	274	342	22	8
AluYc	sense	Alu	21	13	32	43	18	3
AluYc3	antisense	Alu	253	202	89	117	129	87
AluYc3	sense	Alu	0	1	2	5	7	2
AluYd8	antisense	Alu	9	10	0	1	1	2
AluYd8	sense	Alu	0	0	1	0	7	2
AluYe5	antisense	Alu	339	281	381	435	86	43
AluYe5	sense	Alu	1	3	10	10	8	0
AluYe6	antisense	Alu	4	2	7	8	0	0
AluYe6	sense	Alu	0	2	2	4	0	0
AluYf1	antisense	Alu	292	208	134	151	116	45
AluYf1	sense	Alu	2	0	23	8	36	14
AluYg6	antisense	Alu	6	9	4	3	1	0
AluYg6	sense	Alu	5	7	1	11	0	4
AluYh3	antisense	Alu	643	374	207	252	35	15
AluYh3	sense	Alu	28	10	23	52	5	2
AluYh3a3	antisense	Alu	198	102	38	49	15	2
AluYh3a3	sense	Alu	96	58	22	9	2	0
AluYh7	antisense	Alu	0	0	0	1	0	0
AluYh7	sense	NA	0	0	0	0	0	0
AluYh9	antisense	Alu	134	120	16	6	0	0
AluYh9	sense	NA	0	0	0	0	0	0
AluYi6	antisense	Alu	575	519	566	709	31	18
AluYi6	sense	Alu	0	0	6	3	2	8
AluYj4	antisense	Alu	276	161	62	107	30	33
AluYj4	sense	Alu	0	0	14	15	20	10
AluYk11	antisense	Alu	53	39	27	21	0	1
AluYk11	sense	Alu	0	0	5	0	0	0
AluYk12	antisense	Alu	0	0	6	1	0	0
AluYk12	sense	NA	0	0	0	0	0	0
AluYk2	antisense	Alu	161	130	63	90	15	8
AluYk2	sense	Alu	0	0	6	6	18	20
AluYk3	antisense	Alu	167	177	42	35	2	0
AluYk3	sense	Alu	4	1	4	5	17	4
AluYk4	antisense	Alu	210	182	44	92	37	39
AluYk4	sense	Alu	4	2	7	8	6	5
AluYm1	antisense	Alu	671	617	287	503	284	166
AluYm1	sense	Alu	58	17	118	92	116	50
L1HS	antisense	L1	2665	2222	794	1009	35	18
L1HS	sense	L1	479	399	805	1203	13	4
L1M	antisense	L1	19	12	4	12	1	0
L1M	sense	L1	0	1	0	1	0	0
L1M1	antisense	L1	5912	4425	1585	1966	219	122
L1M1	sense	L1	265	113	179	200	27	2
L1M2	antisense	L1	2710	2153	857	1122	76	44
L1M2	sense	L1	29	23	76	83	7	8
L1M2a	antisense	L1	550	303	116	136	4	8
L1M2a	sense	L1	0	0	15	17	4	0
L1M2a1	antisense	L1	11	5	0	5	3	3
L1M2a1	sense	NA	0	0	0	0	0	0
L1M2b	antisense	NA	0	0	0	0	0	0
L1M2b	sense	NA	0	0	0	0	0	0
L1M2c	antisense	L1	19	4	0	1	0	0
L1M2c	sense	NA	0	0	0	0	0	0
L1M3	antisense	L1	2713	2739	1418	1686	73	43
L1M3	sense	L1	36	12	50	55	2	0
L1M3a	antisense	L1	2135	1899	662	882	117	55
L1M3a	sense	L1	1	10	19	31	3	2
L1M3b	antisense	L1	3	2	0	0	0	0
L1M3b	sense	L1	2	0	2	0	0	0
