subfamily	orientation	family	n_copies_with_reads	chr_mean	cyto_mean	chrRNA_neb_mean	log2_retention_rep1	log2_retention_rep2	log2_retention	reps_agree
L1MC1	antisense	L1	24	55.8421	0.0000	15.5241	6.0669	5.5436	5.8053	yes
L1PA15-16	sense	L1	6	46.1328	0.0000	37.9168	5.4879	5.6261	5.5570	yes
L1PBb	sense	L1	4	39.0514	0.0000	113.1195	5.0494	5.5542	5.3018	yes
L1PBa	sense	L1	13	29.5361	0.0000	29.8150	4.7432	5.0997	4.9215	yes
L1PA10	antisense	L1	20	26.0108	0.0000	20.9760	4.5338	4.9476	4.7407	yes
L1MA4A	antisense	L1	10	23.2653	0.0000	2.7027	4.5338	4.6649	4.5993	yes
L1M8	antisense	L1	11	19.2174	0.0000	1.2261	4.3856	4.2878	4.3367	yes
L1HS	antisense	L1	24	77.1580	7.6803	193.5450	2.2926	6.2509	4.2718	yes
L1PA11	sense	L1	24	743.2877	44.2375	546.5034	3.5278	4.7766	4.1522	yes
L1PA16	antisense	L1	16	15.9728	0.0000	4.8060	4.1849	3.9779	4.0814	yes
L1M1	antisense	L1	23	135.0514	34.5615	34.6024	1.0733	6.9606	4.0169	yes
L1P4	antisense	L1	4	14.3818	0.0000	9.3936	4.0338	3.8464	3.9401	yes
L1MA2	antisense	L1	16	14.2884	0.0000	10.7253	3.6736	4.1551	3.9144	yes
L1MEj	sense	L1	11	696.7629	49.1511	286.5819	4.4728	3.3331	3.9030	yes
L1PA8A	sense	L1	11	123.5953	40.5486	176.3401	6.9173	0.6444	3.7808	yes
L1M4a1	sense	L1	10	78.4605	19.2008	55.8018	1.0647	6.2574	3.6611	yes
L1M2	antisense	L1	18	11.6441	0.0000	28.1550	3.9090	3.3598	3.6344	yes
L1PA6	sense	L1	46	7165.5755	588.4374	2283.7118	3.7382	3.4900	3.6141	yes
L1MB2	antisense	L1	11	10.4975	0.0000	15.0238	3.9518	2.9109	3.4313	yes
L1MC	antisense	L1	31	30.5104	3.8402	24.6015	2.0634	4.7409	3.4022	yes
