subfamily	orientation	family	K562_chrRNA_rep1	K562_chrRNA_rep2	K562_chr_Takara_rep1	K562_chr_Takara_rep2	K562_cyto_Takara_rep1	K562_cyto_Takara_rep2
Alu	antisense	Alu	9	1	14	9	0	0
Alu	sense	Alu	625	506	320	404	84	26
AluJb	antisense	Alu	2335	1724	1136	1553	252	123
AluJb	sense	Alu	49847	37283	18930	26486	5519	3094
AluJo	antisense	Alu	1611	1216	633	863	142	69
AluJo	sense	Alu	30463	23428	11635	15794	3368	2079
AluJr	antisense	Alu	1380	1131	839	1010	241	121
AluJr	sense	Alu	31679	24174	14010	19187	2898	1711
AluJr4	antisense	Alu	110	114	106	111	21	14
AluJr4	sense	Alu	7436	5686	2985	4038	441	244
AluSc	antisense	Alu	528	388	324	433	62	23
AluSc	sense	Alu	8062	6351	4025	6113	1373	944
AluSc5	antisense	Alu	29	17	30	43	3	3
AluSc5	sense	Alu	1470	1085	650	946	166	110
AluSc8	antisense	Alu	319	301	175	219	75	43
AluSc8	sense	Alu	4004	3271	2127	3004	1652	1074
AluSg	antisense	Alu	567	354	384	482	106	48
AluSg	sense	Alu	8750	6898	4515	6893	2308	1336
AluSg4	antisense	Alu	96	51	64	49	24	5
AluSg4	sense	Alu	1333	1199	592	812	192	117
AluSg7	antisense	Alu	55	66	71	95	14	5
AluSg7	sense	Alu	2264	1902	923	1378	250	128
AluSp	antisense	Alu	791	625	545	832	183	115
AluSp	sense	Alu	15294	11703	8325	11852	3308	1948
AluSq	antisense	Alu	315	238	137	212	36	23
AluSq	sense	Alu	4197	3398	1811	2563	580	316
AluSq10	antisense	Alu	31	30	52	81	13	4
AluSq10	sense	Alu	451	334	117	163	44	12
AluSq2	antisense	Alu	817	628	497	640	134	64
AluSq2	sense	Alu	15487	11728	7381	11577	2787	1739
AluSq4	antisense	Alu	22	11	15	5	1	0
AluSq4	sense	Alu	278	191	121	119	33	10
AluSx	antisense	Alu	1266	1064	792	1233	514	237
AluSx	sense	Alu	23896	18349	12287	18187	10494	5679
AluSx1	antisense	Alu	1720	1413	974	1283	181	93
AluSx1	sense	Alu	26527	21147	13225	20119	4760	2722
AluSx3	antisense	Alu	383	316	261	347	101	44
AluSx3	sense	Alu	8078	6752	4361	6467	1729	965
AluSx4	antisense	Alu	206	144	106	204	16	4
AluSx4	sense	Alu	4404	3418	1882	3307	332	220
AluSz	antisense	Alu	1146	838	840	1068	172	93
AluSz	sense	Alu	25198	20193	11974	17421	5509	3186
AluSz6	antisense	Alu	639	568	622	839	90	81
AluSz6	sense	Alu	15002	12750	6585	9417	1726	969
AluY	antisense	Alu	1034	767	664	998	218	85
AluY	sense	Alu	19308	14358	10042	15915	4680	2673
AluYa5	antisense	Alu	14	8	13	17	13	5
AluYa5	sense	Alu	509	328	7205	8279	7144	3646
AluYa8	antisense	Alu	0	0	0	1	0	0
AluYa8	sense	Alu	8	10	10	15	0	1
AluYb8	antisense	Alu	7	8	6	6	0	0
AluYb8	sense	Alu	157	161	116	169	60	40
AluYb9	antisense	Alu	2	0	0	0	0	0
AluYb9	sense	Alu	98	68	13	31	8	3
AluYc	antisense	Alu	86	51	41	71	6	1
AluYc	sense	Alu	731	684	421	648	52	41
AluYc3	antisense	Alu	4	2	1	2	0	0
AluYc3	sense	Alu	35	35	24	17	1	3
AluYd8	antisense	NA	0	0	0	0	0	0
AluYd8	sense	Alu	0	0	2	0	2	2
AluYe5	antisense	Alu	3	2	24	37	4	0
AluYe5	sense	Alu	271	226	183	282	23	10
AluYe6	antisense	NA	0	0	0	0	0	0
AluYe6	sense	Alu	32	13	5	4	1	0
AluYf1	antisense	Alu	4	9	20	15	1	5
AluYf1	sense	Alu	306	229	235	374	155	90
AluYg6	antisense	Alu	4	0	2	1	1	0
AluYg6	sense	Alu	131	102	134	151	6	8
AluYh3	antisense	Alu	33	34	11	36	13	3
AluYh3	sense	Alu	223	250	116	189	41	13
AluYh3a3	antisense	NA	0	0	0	0	0	0
AluYh3a3	sense	Alu	89	48	32	35	1	2
AluYh7	antisense	Alu	0	1	1	0	0	0
AluYh7	sense	Alu	2	1	0	1	0	0
AluYh9	antisense	NA	0	0	0	0	0	0
AluYh9	sense	Alu	8	9	3	5	3	1
AluYi6	antisense	NA	0	0	0	0	0	0
AluYi6	sense	Alu	51	23	21	69	30	28
AluYi6_4d	antisense	NA	0	0	0	0	0	0
AluYi6_4d	sense	Alu	22	17	11	32	0	0
AluYj4	antisense	Alu	90	37	42	63	9	1
AluYj4	sense	Alu	571	412	248	340	59	26
AluYk11	antisense	Alu	0	2	1	0	0	0
AluYk11	sense	Alu	91	92	30	51	4	1
AluYk12	antisense	NA	0	0	0	0	0	0
AluYk12	sense	Alu	24	9	5	11	1	1
AluYk2	antisense	Alu	0	2	4	3	1	3
AluYk2	sense	Alu	96	71	65	124	5	3
AluYk3	antisense	Alu	0	0	8	6	4	0
AluYk3	sense	Alu	222	190	87	195	20	4
AluYk4	antisense	Alu	0	0	0	1	0	1
AluYk4	sense	Alu	20	13	25	17	1	0
AluYm1	antisense	Alu	58	41	15	32	5	5
AluYm1	sense	Alu	623	544	426	676	278	158
L1HS	antisense	L1	850	710	175	219	2	0
L1HS	sense	L1	847	828	1291	1650	26	21
L1M	antisense	L1	4	2	0	3	0	5
L1M	sense	L1	91	53	75	81	38	19
L1M1	antisense	L1	142	135	324	360	9	0
L1M1	sense	L1	10181	7453	17437	21206	203	157
L1M2	antisense	L1	124	103	31	27	0	0
L1M2	sense	L1	1702	1230	997	1240	33	22
L1M2a	antisense	NA	0	0	0	0	0	0
L1M2a	sense	NA	0	0	0	0	0	0
L1M2a1	antisense	L1	2	0	0	2	1	0
L1M2a1	sense	L1	0	2	2	7	4	0
L1M2b	antisense	L1	0	0	0	1	0	0
L1M2b	sense	L1	8	0	1	0	0	0
L1M3	antisense	L1	5	6	18	15	1	0
L1M3	sense	L1	1230	865	1097	1374	58	21
L1M3a	antisense	NA	0	0	0	0	0	0
L1M3a	sense	L1	113	75	20	42	0	4
L1M3b	antisense	L1	0	0	5	3	0	0
L1M3b	sense	L1	366	163	63	89	1	0
L1M3c	antisense	L1	1	3	1	6	0	0
L1M3c	sense	L1	204	136	69	93	3	0
L1M3de	antisense	NA	0	0	0	0	0	0
L1M3de	sense	NA	0	0	0	0	0	0
L1M3e	antisense	NA	0	0	0	0	0	0
L1M3e	sense	L1	15	15	15	24	2	3
L1M3f	antisense	L1	0	0	2	0	0	0
L1M3f	sense	L1	2	5	0	0	0	0
L1M4	antisense	L1	127	149	97	162	19	11
L1M4	sense	L1	6036	4857	5344	6746	367	221
L1M4a1	antisense	NA	0	0	0	0	0	0
L1M4a1	sense	L1	262	191	180	220	5	0
L1M4a2	antisense	L1	0	2	19	19	1	0
L1M4a2	sense	L1	1294	907	1200	1532	17	10
L1M4b	antisense	L1	55	46	104	157	8	9
L1M4b	sense	L1	5038	4000	3624	4409	423	271
L1M4c	antisense	L1	68	106	40	63	13	18
L1M4c	sense	L1	1057	811	2263	2498	5336	4413
L1M5	antisense	L1	350	377	268	359	33	20
L1M5	sense	L1	10342	7844	10389	13016	2164	1228
L1M6	antisense	L1	0	5	6	5	4	0
L1M6	sense	L1	1011	980	1668	1924	330	233
L1M6B	antisense	L1	0	0	17	27	5	1
L1M6B	sense	L1	350	177	79	125	7	10
L1M7	antisense	L1	9	5	6	15	0	0
L1M7	sense	L1	1038	793	1107	1612	36	22
L1M8	antisense	L1	6	4	44	54	0	0
L1M8	sense	L1	2263	1669	2175	2786	57	25
L1MA1	antisense	L1	5	4	8	25	1	0
L1MA1	sense	L1	785	598	380	497	44	29
L1MA10	antisense	L1	12	8	8	5	0	0
L1MA10	sense	L1	520	405	320	360	12	5
L1MA2	antisense	L1	50	37	26	49	0	0
L1MA2	sense	L1	2594	1849	2295	2717	58	29
L1MA3	antisense	L1	28	13	77	153	0	2
L1MA3	sense	L1	5244	4103	6856	8946	43	30
L1MA4	antisense	L1	26	26	164	188	16	3
L1MA4	sense	L1	7828	6093	2169	2767	42	21
L1MA4A	antisense	L1	13	9	49	71	0	0
L1MA4A	sense	L1	895	641	3766	4434	56	20
L1MA5	antisense	L1	220	203	122	113	9	16
L1MA5	sense	L1	420	314	364	458	15	12
L1MA5A	antisense	L1	0	0	8	2	0	0
L1MA5A	sense	L1	147	152	137	193	10	21
L1MA6	antisense	L1	22	14	4	19	0	0
L1MA6	sense	L1	112	135	230	265	46	61
L1MA7	antisense	L1	20	26	14	25	2	1
L1MA7	sense	L1	839	583	914	1194	70	34
L1MA8	antisense	L1	33	26	36	53	2	0
L1MA8	sense	L1	1395	919	1307	1620	20	13
L1MA9	antisense	L1	348	328	143	190	8	1
L1MA9	sense	L1	5099	3830	4318	5287	128	61
L1MB1	antisense	L1	4	0	10	11	2	0
L1MB1	sense	L1	716	627	1278	1432	169	110
L1MB2	antisense	L1	55	64	32	19	0	0
L1MB2	sense	L1	1222	865	828	1062	21	6
L1MB3	antisense	L1	114	127	58	71	2	2
L1MB3	sense	L1	3997	2972	2954	3942	120	69
L1MB4	antisense	L1	63	58	63	56	19	8
L1MB4	sense	L1	3995	2889	2010	2843	86	38
