subfamily	orientation	family	n_copies_with_reads	chr_mean	cyto_mean	chrRNA_neb_mean	log2_retention_rep1	log2_retention_rep2	log2_retention	reps_agree
L1M2b	sense	L1	13	182.9705	0.0000	761.6928	7.5635	7.4820	7.5228	yes
L1M2a1	sense	L1	9	1128.4170	27.0324	135.5385	10.2290	4.2650	7.2470	yes
L1M3f	sense	L1	48	127.9305	0.0000	153.3122	7.1556	6.8490	7.0023	yes
L1PBb	antisense	L1	33	125.1699	0.0000	74.4376	7.0805	6.8703	6.9754	yes
L1M3b	sense	L1	33	281.8811	3.8402	136.1501	5.0374	8.1329	6.5851	yes
L1M2c	sense	L1	19	774.6204	33.7905	627.4189	9.6806	3.4133	6.5469	yes
L1MEg1	sense	L1	43	210.2055	3.8402	395.2845	4.6452	7.6809	6.1630	yes
L1MEa	sense	L1	25	63.0800	0.0000	16.2692	6.1611	5.8227	5.9919	yes
L1PA11	sense	L1	272	4999.3081	162.0430	2303.5715	6.5154	4.2012	5.3583	yes
L1P4e	antisense	L1	23	26.4474	0.0000	19.8619	4.7432	4.8131	4.7782	yes
L1PB	antisense	L1	97	219.1041	34.5615	345.1188	1.7214	7.7072	4.7143	yes
L1P	antisense	L1	3	25.2699	0.0000	84.4299	4.5054	4.8986	4.7020	yes
L1PB	sense	L1	109	628.6113	27.9546	796.1115	5.3343	3.8501	4.5922	yes
L1P4a	sense	L1	46	718.5673	28.8768	230.6510	4.5851	4.5956	4.5903	yes
L1MEg2	sense	L1	55	89.5280	6.7581	67.9580	6.4495	2.6898	4.5696	yes
L1MA6	sense	L1	281	1150.1616	55.7580	476.0482	3.8330	5.2733	4.5531	yes
L1MA4A	sense	L1	342	9657.3411	433.6062	3872.6318	5.1125	3.9713	4.5419	yes
L1M3d	sense	L1	38	182.1599	34.5615	132.9143	1.3682	7.5337	4.4510	yes
L1M3d	antisense	L1	27	76.7682	6.7581	131.0030	6.2918	2.4107	4.3513	yes
L1M3a	sense	L1	27	58.9387	3.8402	31.8733	2.9197	5.7601	4.3399	yes
L1M	antisense	L1	20	20.3633	0.0000	4.0609	4.9261	3.6236	4.2748	yes
L1PBa	sense	L1	188	2889.1068	185.0840	891.2522	5.0036	3.2296	4.1166	yes
L1PA6	sense	L1	794	12649.3510	755.2428	5762.9361	4.3437	3.8506	4.0971	yes
L1PA11	antisense	L1	227	905.9125	106.6023	2344.6242	2.2648	5.8707	4.0677	yes
L1ME3D	sense	L1	177	1287.6218	78.0279	567.3460	4.4695	3.6424	4.0559	yes
L1PA8A	sense	L1	172	1838.6900	123.3389	1002.4456	4.4679	3.4534	3.9607	yes
L1PA16	sense	L1	907	13763.4860	934.6421	6267.0733	4.4355	3.4582	3.9469	yes
L1MA4	sense	L1	536	7902.9382	527.7658	1782.8214	4.1971	3.6225	3.9098	yes
L1PB4	sense	L1	336	1569.7383	117.3518	907.3741	3.4128	4.1866	3.7997	yes
L1M2c	antisense	L1	17	39.1132	3.8402	14.4108	2.2801	5.2504	3.7652	yes
L1PA14	sense	L1	215	3031.0641	252.5137	1903.3917	4.3297	3.0679	3.6988	yes
L1PBb	sense	L1	25	12.1510	0.0000	18.2868	4.0338	3.3108	3.6723	yes
L1M1	sense	L1	711	10716.6954	851.0956	4885.4647	3.6934	3.6125	3.6529	yes
L1MEg	sense	L1	705	6580.2967	527.7658	1535.2452	3.9123	3.3818	3.6470	yes
L1PA15	sense	L1	515	4264.9007	349.2887	1936.2137	3.4594	3.7968	3.6281	yes
L1P4b	sense	L1	16	11.0827	0.0000	24.5359	3.7239	3.4532	3.5885	yes
L1PA13	sense	L1	586	4304.1147	428.0728	3024.6223	4.4354	2.6582	3.5468	yes
L1P4d	antisense	L1	13	11.7461	0.0000	63.7594	2.8743	4.1827	3.5285	yes
L1PA3	sense	L1	2204	12960.4992	1189.0003	3972.5684	3.8456	3.1696	3.5076	yes
L1M4a1	antisense	L1	98	203.0287	24.1144	147.5093	4.7383	2.0857	3.4120	yes
