subfamily	orientation	family	baseMean	log2FoldChange	lfcSE	pvalue	padj
L1PBb	antisense	L1	25.2910648988899	5.55100242368236	1.51800965943025	0.000255419764436981	0.000591314249176024
L1M2b	sense	L1	27.4260465632696	5.25188614658017	1.54999666993985	0.000703219320740351	0.00110772600966179
L1M3f	sense	L1	19.0966502939756	4.72953600445274	1.6136637487832	0.00337948577191924	0.00493072514263627
L1M3b	sense	L1	43.8024677000611	4.46297844318123	1.41463690786176	0.00160576286481711	0.00244295546955082
L1M2a1	sense	L1	179.015427060795	4.24902430202173	1.19161519056536	0.000362791061798851	0.00057657865178746
L1MEg1	sense	L1	33.0123790171548	4.03903620866671	1.42781089190025	0.00467183114686483	0.00670633825920919
L1MEa	sense	L1	9.41021395036837	3.70851782084205	1.84757985508528	0.0447251724293919	0.0585373580325864
L1PA11	sense	L1	811.839246507421	3.66357302699674	0.772351991062949	2.10162601721862e-06	3.81723909249912e-06
L1M3d	antisense	L1	17.3786643086584	3.41093105374964	1.47059504490146	0.0203721455239841	0.0362409746689822
L1P4e	antisense	L1	5.3639849837551	3.31414428269526	1.79605328700547	0.0650030458210506	0.0998683158523413
L1PB	sense	L1	104.768063361081	3.30219711233012	0.69700589087519	2.16169263323348e-06	3.88667968399555e-06
L1M2c	sense	L1	128.652459132395	3.2974042881573	1.46371561287886	0.0242741000285502	0.0324871413915935
L1P	antisense	L1	5.1478447364749	3.25519480404669	1.83754268875893	0.0764786839360492	0.11337629460695
L1P4a	sense	L1	118.645851706887	3.24670286055516	0.633902355211593	3.02678933245773e-07	5.85617936062473e-07
L1MA4A	sense	L1	1609.44498517408	3.16961297196102	0.318008475688044	2.12400807719521e-23	6.40802436848725e-23
L1M	antisense	L1	4.05594279572836	2.90949116824164	2.04907606816539	0.155635650773995	0.208749404609565
L1MA6	sense	L1	193.765955349874	2.83435613060218	0.477186265384765	2.85497154779107e-09	6.12271006634712e-09
L1M4a1	antisense	L1	47.5841194230219	2.80773392813891	0.818504219405672	0.0006028629330149	0.00135845114239357
L1MEg2	sense	L1	16.0094012521304	2.77920664767099	1.53372407989368	0.0699762621188087	0.0889698189796282
L1ME3D	sense	L1	222.393708397532	2.75540797402953	0.415799107366542	3.43095267515152e-11	7.93129319710352e-11
L1PA6	sense	L1	2192.70383902806	2.74418369304153	0.277826806768014	5.22116515671408e-23	1.54894566315851e-22
L1PBa	sense	L1	501.427934155314	2.67605733353447	0.519228287417154	2.55106560138868e-07	5.04544085607984e-07
L1PA8A	sense	L1	322.693548707772	2.64401553706373	0.359366734382285	1.87484880358714e-13	4.70032516955648e-13
L1MA4	sense	L1	1384.11508962817	2.58021666243354	0.171124874860613	2.26096152474954e-51	9.14661707739585e-51
L1PA16	sense	L1	2420.00954572178	2.55179491355562	0.333581606343198	2.01468928210421e-14	5.12306703163642e-14
L1PA7	antisense	L1	1181.21370761418	2.49371367597747	0.176627918268571	2.92321760676761e-45	1.64674591847909e-43
L1M2c	antisense	L1	9.08519921616162	2.46034667844024	1.5501036209555	0.112464110567665	0.159717938537272
L1PA11	antisense	L1	215.512877366445	2.43099106249148	0.804167715012328	0.00250290409381684	0.00503560466494102
L1PA8A	antisense	L1	186.52881266668	2.38250694965188	0.365961315474044	7.50158787741542e-11	3.25068808021335e-10
L1M3e	antisense	L1	17.9202225692081	2.37322576647382	1.14775345713245	0.0386669349342072	0.0634438058629226
L1P4	antisense	L1	129.743756888349	2.34756019294878	0.439687336697831	9.33792025726427e-08	3.28772609057846e-07
L1MEg	sense	L1	1187.10556259618	2.31816425907758	0.16666640243779	5.58489669340017e-44	2.1611121987505e-43
L1M1	sense	L1	1934.61354897148	2.29759007165741	0.150701804585545	1.75204024721001e-52	7.25263172100887e-52
L1PA14	sense	L1	550.659773324147	2.29347235997457	0.436405509851494	1.47727290898733e-07	2.98812020226983e-07
L1PB4	sense	L1	280.400264339746	2.27823462701397	0.349587990301073	7.17688745009868e-11	1.61707084318679e-10
L1M3a	sense	L1	10.3065684591509	2.20788363144064	1.55716183206181	0.156222987152126	0.187889808872151
L1PA15	sense	L1	772.478792713361	2.18951242146344	0.228274776884238	8.67586759630077e-22	2.53164661006809e-21
L1P4d	antisense	L1	2.42201164688351	2.16815789020696	2.36881104055442	0.360037450434563	0.431534249102419
L1MA7	antisense	L1	315.644756480151	2.15918886820612	0.284694737792656	3.3448100417396e-14	2.35530373772497e-13
L1PA3	sense	L1	2406.90224504939	2.11797242441412	0.367724581747103	8.42782928869904e-09	1.76488660398639e-08
L1MA1	antisense	L1	675.500106749268	2.08624499125515	0.204135300089566	1.61485876744961e-24	3.03234590776649e-23
L1PB3	sense	L1	222.036183608111	2.07401487030379	0.376521465939134	3.62197103947483e-08	7.41046948306344e-08
L1PA13	sense	L1	807.282655243263	2.01021800977625	0.60933517132749	0.00097017840896694	0.001501667450401
L1MCb	sense	L1	143.631457013016	1.9677566132224	0.451489466704435	1.31036753271451e-05	2.25012390065173e-05
L1M4a2	sense	L1	75.6689687952892	1.96127187461229	0.589822899808056	0.00088359015361981	0.0013796407661783
L1M3de	sense	L1	103.1561607886	1.92486919767191	0.527752880273751	0.000265018028958542	0.000424983866257843
L1MC1	antisense	L1	539.634259214504	1.88713590373507	0.257412557104623	2.28147482259106e-13	1.42218990878609e-12
L1PB	antisense	L1	54.8919936699102	1.87837457342769	0.739298199277849	0.011061383743426	0.0205425698092197
L1MA2	sense	L1	848.889898036625	1.85095088820491	0.222798025117889	9.75315477650084e-17	2.670863923411e-16
L1MEf	sense	L1	623.36733476402	1.8337274237189	0.372274292335508	8.4040472652245e-07	1.55825043042704e-06
