subfamily	orientation	family	K562_chrRNA_rep1	K562_chrRNA_rep2	K562_chr_Takara_rep1	K562_chr_Takara_rep2	K562_cyto_Takara_rep1	K562_cyto_Takara_rep2
Alu	antisense	Alu	1122	718	192	259	9	8
Alu	sense	Alu	364	326	221	289	10	4
AluJb	antisense	Alu	37641	28449	8346	10941	937	481
AluJb	sense	Alu	28134	21260	12590	16122	2643	1333
AluJo	antisense	Alu	25179	18451	4916	6399	446	238
AluJo	sense	Alu	16306	12531	7429	9634	1150	649
AluJr	antisense	Alu	26443	19628	5790	7159	519	279
AluJr	sense	Alu	19706	14445	11119	14172	1172	754
AluJr4	antisense	Alu	5268	3846	1176	1397	87	53
AluJr4	sense	Alu	4313	3506	2402	2932	197	94
AluSc	antisense	Alu	7521	5817	2864	3352	217	130
AluSc	sense	Alu	4531	3744	3803	5170	2825	1436
AluSc5	antisense	Alu	1829	1432	561	703	58	38
AluSc5	sense	Alu	1248	999	1119	1462	605	343
AluSc8	antisense	Alu	5651	4364	1489	2009	153	77
AluSc8	sense	Alu	3009	2499	2171	2545	1173	650
AluSg	antisense	Alu	8597	6616	2324	3186	244	142
AluSg	sense	Alu	4924	4080	6750	8541	7714	4284
AluSg4	antisense	Alu	2673	2178	658	930	83	55
AluSg4	sense	Alu	871	819	892	988	1240	629
AluSg7	antisense	Alu	1397	1159	406	529	26	37
AluSg7	sense	Alu	963	790	944	1097	1099	652
AluSp	antisense	Alu	11485	8843	3293	4357	422	216
AluSp	sense	Alu	7328	5710	9154	10971	8631	4620
AluSq	antisense	Alu	3962	2773	921	1206	123	74
AluSq	sense	Alu	2601	2170	1678	2297	2059	1086
AluSq10	antisense	Alu	511	395	114	176	4	0
AluSq10	sense	Alu	96	78	146	225	228	149
AluSq2	antisense	Alu	12924	10558	3459	4610	511	277
AluSq2	sense	Alu	9906	7961	7901	10641	6854	3728
AluSq4	antisense	Alu	290	305	58	123	1	2
AluSq4	sense	Alu	224	223	168	251	171	114
AluSx	antisense	Alu	24711	19656	6591	8932	762	370
AluSx	sense	Alu	17670	14007	12970	16748	8785	4466
AluSx1	antisense	Alu	26931	20224	6193	8395	1756	814
AluSx1	sense	Alu	15879	13041	13174	16932	12580	6671
AluSx3	antisense	Alu	8102	6351	2034	2854	225	152
AluSx3	sense	Alu	4347	3626	3678	5085	2755	1457
AluSx4	antisense	Alu	1694	1363	413	538	45	29
AluSx4	sense	Alu	972	817	2577	2686	4765	2603
