subfamily	orientation	family	n_copies_with_reads	chr_mean	cyto_mean	chrRNA_neb_mean	log2_retention_rep1	log2_retention_rep2	log2_retention	reps_agree
L1P4d	sense	L1	7	87.3670	0.0000	68.4983	6.5711	6.3514	6.4613	yes
L1M3d	antisense	L1	45	336.6555	15.3606	535.8896	3.4134	8.3980	5.9057	yes
L1M3c	antisense	L1	116	432.5154	33.7905	845.2738	8.8041	2.6146	5.7094	yes
L1M6B	sense	L1	45	49.7363	0.0000	2.7092	5.4879	5.8227	5.6553	yes
L1P4e	antisense	L1	31	48.9947	0.0000	84.3714	5.7649	5.5114	5.6381	yes
L1PBa1	sense	L1	41	43.0592	0.0000	21.8788	5.7036	5.1701	5.4369	yes
L1M2a1	antisense	L1	11	169.3074	7.6803	285.9589	3.2754	7.5094	5.3924	yes
L1M2c	antisense	L1	60	120.6236	7.6803	413.8910	2.8797	6.9406	4.9101	yes
AluYi6_4d	antisense	Alu	20	28.7248	0.0000	55.3008	4.8375	4.9476	4.8925	yes
L1PB	sense	L1	83	130.3874	11.5205	47.8792	2.5728	6.9038	4.7383	yes
L1PA8A	sense	L1	192	230.6570	38.4016	29.6908	1.4447	7.9746	4.7096	yes
L1MEa	sense	L1	32	20.5277	0.0000	9.0967	4.4467	4.4093	4.4280	yes
L1M2b	sense	L1	7	18.5152	0.0000	0.5010	4.5617	3.9462	4.2539	yes
L1M3c	sense	L1	50	775.5903	61.7451	823.0715	5.5783	2.8216	4.2000	yes
L1P4b	antisense	L1	18	16.6592	0.0000	58.2476	4.1849	4.0985	4.1417	yes
L1MCb	antisense	L1	192	1076.4097	66.3562	1710.7552	3.6543	4.5626	4.1084	yes
L1P	sense	L1	2	63.6658	6.7581	6.4410	5.8912	2.2693	4.0802	yes
L1P3	sense	L1	179	553.3343	41.4708	108.6368	5.1031	2.9939	4.0485	yes
AluYk12	antisense	Alu	31	59.8591	6.7581	106.3573	6.0174	1.9718	3.9946	yes
L1P4d	antisense	L1	18	40.3459	3.8402	114.1486	2.0813	5.5222	3.8018	yes
L1PA14	antisense	L1	509	3985.9160	295.5264	7682.3456	3.7460	3.7523	3.7492	yes
L1P5	sense	L1	24	12.1123	0.0000	11.7209	3.7239	3.7017	3.7128	yes
L1P4c	antisense	L1	3	11.4883	0.0000	20.9153	3.6215	3.6632	3.6424	yes
L1P3	antisense	L1	362	2622.2866	250.6692	6907.8047	4.4627	2.7285	3.5956	yes
L1M2b	antisense	L1	22	353.3154	28.8768	707.8125	3.4440	3.6964	3.5702	yes
L1MDb	sense	L1	53	51.0926	11.5205	39.4741	1.2591	5.5436	3.4014	yes
L1MEg1	sense	L1	57	41.7496	7.6803	7.8384	1.3344	5.4673	3.4009	yes
L1PBa	antisense	L1	278	2512.7820	269.8700	4714.1465	3.9735	2.7073	3.3404	yes
L1P4a	sense	L1	36	28.8339	3.8402	66.6184	1.7647	4.9151	3.3399	yes
L1PA8A	antisense	L1	368	3443.8500	388.9150	8827.3726	3.1260	3.1612	3.1436	yes
L1P1	sense	L1	357	1058.4944	124.2611	246.4427	3.3764	2.8400	3.1082	yes
L1MDb	antisense	L1	160	669.2565	79.8724	1360.5184	2.8118	3.3231	3.0674	yes
L1P4a	antisense	L1	60	155.2128	24.1144	495.1131	4.2264	1.8516	3.0390	yes
L1PA15	sense	L1	589	1384.4608	178.9456	582.8535	2.6784	3.2975	2.9879	yes
L1MEa	antisense	L1	64	318.9983	45.3110	428.7879	3.7135	2.2429	2.9782	yes
L1P1	antisense	L1	451	3246.9868	424.8524	5856.1457	3.3614	2.5857	2.9736	yes
L1PA7	antisense	L1	2120	23054.4678	2997.1888	56734.4159	2.9943	2.8922	2.9433	yes
L1MA7	antisense	L1	1094	7842.9660	1046.6266	11287.8513	3.0226	2.7876	2.9051	yes
L1MEg2	antisense	L1	132	925.8419	149.4490	1075.9783	3.7606	1.9686	2.8646	yes
L1PA13	antisense	L1	1137	8993.2872	1270.4294	16575.5288	2.7405	2.9180	2.8293	yes
L1P4	antisense	L1	445	2245.9420	324.2520	5022.7541	2.5717	3.0662	2.8189	yes
L1P4b	sense	L1	12	6.9026	0.0000	2.3994	2.0588	3.5409	2.7998	yes
L1PA6	antisense	L1	1200	15174.1253	2195.6980	35323.1346	2.9666	2.6268	2.7967	yes
L1PA4	antisense	L1	2303	18401.7440	2701.4964	35796.7630	2.9801	2.5818	2.7810	yes
L1PB	antisense	L1	194	1123.7471	172.4900	2220.1003	3.3282	2.2297	2.7789	yes
L1PA5	sense	L1	1533	3407.4071	505.1933	1210.3496	2.4778	3.0659	2.7718	yes
L1MA3	sense	L1	712	2039.1732	300.2888	921.6377	2.6287	2.9046	2.7666	yes
L1MEb	antisense	L1	324	1311.4684	214.4293	2348.3825	2.1255	3.3837	2.7546	yes
L1PREC2	antisense	L1	1069	7107.6691	1053.3847	12525.8410	2.8778	2.6308	2.7543	yes
L1MA1	antisense	L1	500	3491.4936	534.2214	7832.4334	2.6503	2.7669	2.7086	yes
L1PB1	antisense	L1	1899	14679.4654	2274.3457	36811.8037	2.8211	2.5617	2.6914	yes
L1P	antisense	L1	10	24.0838	6.7581	19.1704	4.9044	0.4780	2.6912	yes
L1PB3	antisense	L1	535	4214.3463	667.5388	6704.4109	2.9924	2.3759	2.6841	yes
L1MA2	antisense	L1	1112	8092.3932	1305.2786	18203.8695	3.0258	2.3008	2.6633	yes
L1M3de	sense	L1	27	32.0627	13.5162	45.5247	5.1262	0.1545	2.6403	yes
L1M3f	sense	L1	46	32.1488	13.5162	9.3472	4.9044	0.3748	2.6396	yes
L1PA5	antisense	L1	2272	16824.4228	2729.1485	40337.1170	2.7633	2.4982	2.6307	yes
L1MCc	antisense	L1	523	2547.2738	428.2389	6323.2813	2.4264	2.7425	2.5844	yes
L1PB4	antisense	L1	1017	4721.2046	823.5947	8656.5786	2.8603	2.2322	2.5463	yes
L1MA5A	antisense	L1	563	2975.2824	519.6318	5266.1683	2.3376	2.7323	2.5349	yes
L1M3e	antisense	L1	109	749.2356	130.8680	1457.6377	2.3153	2.7438	2.5295	yes
L1MA4	antisense	L1	1528	10797.6531	1897.1024	16258.4329	2.6998	2.3289	2.5144	yes
AluYi6	antisense	Alu	74	51.8020	40.5486	154.0751	5.9869	-0.9607	2.5131	NO
AluYe6	antisense	Alu	37	37.8108	23.0410	93.2383	-0.2388	5.2373	2.4993	NO
L1PA10	antisense	L1	968	5449.3321	981.4951	15002.4874	2.7502	2.2359	2.4930	yes
L1M3f	antisense	L1	129	583.7507	105.8313	1874.8414	2.1987	2.7843	2.4915	yes
L1PA3	antisense	L1	2443	20188.3422	3657.5010	35084.0982	2.6163	2.3271	2.4717	yes
L1PA17	antisense	L1	757	6437.5313	1163.2074	13324.4902	2.6016	2.3393	2.4705	yes
L1MA4A	antisense	L1	1010	6938.6030	1265.8183	14304.1654	2.4362	2.4726	2.4544	yes
L1MC2	antisense	L1	1168	7686.9944	1435.0731	9435.9559	2.7092	2.1619	2.4355	yes
L1PB3	sense	L1	242	842.4814	184.1617	1035.4801	3.3886	1.4748	2.4317	yes
L1PA12	sense	L1	108	160.4383	37.4794	181.8483	1.4348	3.4078	2.4213	yes
L1M2	antisense	L1	1347	6624.8555	1260.7386	14952.8794	2.6481	2.1683	2.4082	yes
L1MEh	antisense	L1	345	2082.8450	391.8330	2632.3600	2.4541	2.3589	2.4065	yes
L1PBb	antisense	L1	34	140.6904	44.3887	475.4907	4.1266	0.6825	2.4045	yes
L1PA11	antisense	L1	670	5429.0759	1038.7950	12848.7895	2.4020	2.3672	2.3846	yes
L1MEg2	sense	L1	52	42.1395	33.7905	2.6107	5.4285	-0.6664	2.3811	NO
L1PA15	antisense	L1	1199	8945.5041	1741.3490	19298.0818	2.6138	2.1388	2.3763	yes
L1M3b	antisense	L1	71	338.7146	64.5118	1328.0741	2.4364	2.3158	2.3761	yes
L1MA4A	sense	L1	471	1459.5018	286.7726	694.6328	2.2361	2.4773	2.3567	yes
L1M1	antisense	L1	1316	10078.4815	2024.4327	20059.6320	2.5734	2.0817	2.3275	yes
L1MA9	antisense	L1	2009	10605.6762	2141.3308	13664.2579	2.4002	2.2159	2.3080	yes
L1MEg	antisense	L1	2291	10464.6275	2127.0436	15352.5993	2.4282	2.1722	2.3002	yes
L1P5	antisense	L1	69	146.1670	28.8768	225.6559	2.0834	2.5120	2.2977	yes
L1MEb	sense	L1	124	147.4128	37.4794	43.0396	1.4114	3.1708	2.2911	yes
L1PA3	sense	L1	1994	6782.9660	1402.3561	1751.7806	2.4589	2.1210	2.2899	yes
L1MCa	antisense	L1	1089	5879.7977	1214.5054	9485.9551	2.5635	2.0139	2.2887	yes
L1M6	antisense	L1	734	2769.8500	574.9212	3138.8594	2.4723	2.0749	2.2736	yes
L1ME3E	antisense	L1	806	4476.4535	941.1125	4862.0971	2.0977	2.4367	2.2672	yes
L1MC1	antisense	L1	2285	15859.5110	3312.5210	24643.9624	2.4165	2.1089	2.2627	yes
L1M8	antisense	L1	273	916.6238	210.5891	1960.6849	1.6333	2.8801	2.2567	yes
L1M3d	sense	L1	25	31.8056	23.0410	6.7572	-0.6527	5.1563	2.2518	NO
