subfamily	orientation	family	K562_chrRNA_rep1	K562_chrRNA_rep2	K562_chr_Takara_rep1	K562_chr_Takara_rep2	K562_cyto_Takara_rep1	K562_cyto_Takara_rep2
Alu	antisense	Alu	9782	7872	2613	3424	78	54
Alu	sense	Alu	99	85	153	240	19	8
AluJb	antisense	Alu	829732	628814	149464	199820	5019	2852
AluJb	sense	Alu	12278	9457	13372	18337	2724	1318
AluJo	antisense	Alu	473867	360669	89109	120759	2931	1778
AluJo	sense	Alu	8584	6358	8245	11647	1242	688
AluJr	antisense	Alu	521837	395367	98176	133090	3211	1749
AluJr	sense	Alu	9093	6930	9622	13190	1198	726
AluJr4	antisense	Alu	144989	109881	29156	38564	753	401
AluJr4	sense	Alu	2113	1612	2424	3011	257	146
AluSc	antisense	Alu	141072	112041	35277	48876	1389	876
AluSc	sense	Alu	1933	1713	4494	5663	2788	1481
AluSc5	antisense	Alu	27447	22254	6563	9327	323	207
AluSc5	sense	Alu	403	314	820	1025	657	388
AluSc8	antisense	Alu	91641	72737	21049	28978	744	425
AluSc8	sense	Alu	916	833	2407	3315	1469	745
AluSg	antisense	Alu	165887	132818	36839	51264	1498	863
AluSg	sense	Alu	2593	2271	6995	8829	6646	3721
AluSg4	antisense	Alu	33312	26930	7245	10195	238	135
AluSg4	sense	Alu	712	626	1004	1400	855	452
AluSg7	antisense	Alu	36345	29692	7807	11192	294	199
AluSg7	sense	Alu	719	684	1427	1619	1362	805
AluSp	antisense	Alu	233267	191537	50151	71509	2497	1438
AluSp	sense	Alu	3764	3115	7460	10093	5160	2762
AluSq	antisense	Alu	112385	89720	22783	32461	1044	691
AluSq	sense	Alu	1387	1158	2916	3618	1295	587
AluSq10	antisense	Alu	8286	6867	1734	2416	80	31
AluSq10	sense	Alu	184	123	340	509	112	62
AluSq2	antisense	Alu	253049	204470	54259	76340	2111	1340
AluSq2	sense	Alu	5167	4147	8473	11008	5612	2978
AluSq4	antisense	Alu	8246	6669	2176	3046	113	63
AluSq4	sense	Alu	147	141	311	344	206	128
AluSx	antisense	Alu	557080	436334	114877	161455	4846	2669
AluSx	sense	Alu	9021	6919	14376	18905	8720	4819
AluSx1	antisense	Alu	565372	445137	114744	161081	4994	2676
AluSx1	sense	Alu	8486	6893	15078	19983	11995	6190
AluSx3	antisense	Alu	141704	114094	29747	40413	1052	658
AluSx3	sense	Alu	2635	2178	4015	5194	2893	1645
AluSx4	antisense	Alu	53545	41916	10932	15077	405	211
AluSx4	sense	Alu	714	481	1311	1896	1240	641
AluSz	antisense	Alu	531779	415344	108479	150664	4255	2371
AluSz	sense	Alu	7234	5767	13291	17344	5700	2979
AluSz6	antisense	Alu	280557	217851	58578	81746	2156	1205
AluSz6	sense	Alu	5510	3998	5801	7678	2124	1002
AluY	antisense	Alu	343120	277030	84904	122862	3586	2072
AluY	sense	Alu	6514	5633	15862	21414	16505	9090
AluYa5	antisense	Alu	5111	4427	2103	3107	77	34
AluYa5	sense	Alu	194	166	467	598	2268	1381
AluYa8	antisense	Alu	518	463	143	223	2	2
AluYa8	sense	Alu	7	7	19	22	35	23
AluYb8	antisense	Alu	4776	4495	1492	2249	38	22
AluYb8	sense	Alu	263	205	406	644	941	503
AluYb9	antisense	Alu	423	402	126	247	6	1
AluYb9	sense	Alu	9	10	8	12	47	15
AluYc	antisense	Alu	12580	10556	3603	5258	115	88
AluYc	sense	Alu	155	124	560	728	439	222
AluYc3	antisense	Alu	1958	1674	564	784	23	8
AluYc3	sense	Alu	14	10	97	143	121	53
AluYd8	antisense	Alu	380	406	206	270	7	7
AluYd8	sense	Alu	48	14	19	55	101	43
AluYe5	antisense	Alu	3891	3201	1155	1572	35	10
AluYe5	sense	Alu	127	89	164	190	235	133
AluYe6	antisense	Alu	433	323	86	107	6	0
AluYe6	sense	Alu	1	2	28	46	57	38
AluYf1	antisense	Alu	6743	5520	1678	2693	62	26
AluYf1	sense	Alu	109	96	367	410	218	94
AluYg6	antisense	Alu	1525	1091	485	635	23	10
AluYg6	sense	Alu	28	15	75	76	81	36
AluYh3	antisense	Alu	8319	6590	1732	2577	102	36
AluYh3	sense	Alu	225	212	474	576	488	299
AluYh3a3	antisense	Alu	1029	797	184	309	11	4
AluYh3a3	sense	Alu	36	23	19	32	15	10
AluYh7	antisense	Alu	257	175	42	87	5	0
AluYh7	sense	Alu	6	3	38	21	61	26
AluYh9	antisense	Alu	368	372	53	75	4	0
AluYh9	sense	Alu	2	0	4	3	0	0
AluYi6	antisense	Alu	756	501	138	120	0	6
AluYi6	sense	Alu	20	9	83	77	167	118
AluYi6_4d	antisense	Alu	260	189	61	87	0	0
AluYi6_4d	sense	Alu	6	2	5	6	11	4
AluYj4	antisense	Alu	7209	6038	1746	2332	75	39
AluYj4	sense	Alu	109	70	236	289	94	37
AluYk11	antisense	Alu	2218	1763	429	705	18	11
AluYk11	sense	Alu	43	18	26	45	19	8
AluYk12	antisense	Alu	471	387	141	163	0	1
AluYk12	sense	Alu	4	0	8	17	13	18
AluYk2	antisense	Alu	2187	1870	431	682	12	6
AluYk2	sense	Alu	122	123	66	128	47	36
AluYk3	antisense	Alu	3266	2866	727	1116	45	26
AluYk3	sense	Alu	83	58	144	220	344	180
AluYk4	antisense	Alu	2691	2396	676	1028	17	16
AluYk4	sense	Alu	52	29	107	166	129	60
AluYm1	antisense	Alu	15052	12600	3429	4897	146	87
AluYm1	sense	Alu	211	191	641	811	928	444
L1HS	antisense	L1	17106	14189	4627	6239	125	71
L1HS	sense	L1	4625	3539	6629	9766	98	57
L1M	antisense	L1	936	749	345	489	9	4
L1M	sense	L1	29	32	24	40	2	0
L1M1	antisense	L1	87659	73941	23053	28350	228	170
L1M1	sense	L1	3520	2553	3517	4515	1806	953
L1M2	antisense	L1	64860	55508	14913	18952	140	107
L1M2	sense	L1	2735	2022	1771	2034	116	83
L1M2a	antisense	L1	6243	4552	724	1179	21	8
L1M2a	sense	L1	75	41	78	127	2	3
L1M2a1	antisense	L1	1288	1023	348	528	2	0
L1M2a1	sense	L1	0	5	23	37	0	2
L1M2b	antisense	L1	3234	2495	761	1056	4	2
L1M2b	sense	L1	2	2	50	42	0	0
L1M2c	antisense	L1	1891	1459	264	355	2	0
L1M2c	sense	L1	19	33	31	31	3	0
L1M3	antisense	L1	26491	23768	8987	11592	108	89
L1M3	sense	L1	1137	732	1273	1597	2008	990
L1M3a	antisense	L1	8304	6210	2722	3416	72	36
L1M3a	sense	L1	116	81	89	100	10	0
L1M3b	antisense	L1	6108	4649	745	992	8	5
L1M3b	sense	L1	271	177	101	131	6	1
L1M3c	antisense	L1	3775	3050	986	1221	0	5
L1M3c	sense	L1	3866	2816	1726	2245	2	8
L1M3d	antisense	L1	2294	2014	745	980	4	0
L1M3d	sense	L1	22	31	64	101	6	0
L1M3de	antisense	L1	3191	2739	534	765	6	5
L1M3de	sense	L1	216	154	75	88	0	2
L1M3e	antisense	L1	6623	5168	1699	2127	20	8
L1M3e	sense	L1	869	456	183	205	3	3
L1M3f	antisense	L1	7859	7181	1333	1645	17	6
L1M3f	sense	L1	55	23	64	103	0	2
L1M4	antisense	L1	97538	87756	31944	40605	668	406
L1M4	sense	L1	2821	2280	3103	4188	69	42
L1M4a1	antisense	L1	16118	14885	4726	5937	61	50
L1M4a1	sense	L1	330	382	527	776	14	4
L1M4a2	antisense	L1	10227	9153	3077	3777	62	13
