subfamily	orientation	family	n_copies_with_reads	chr_mean	cyto_mean	chrRNA_neb_mean	log2_retention_rep1	log2_retention_rep2	log2_retention	reps_agree
L1M2a	sense	L1	35	1177.2967	7.6803	592.4783	6.2253	10.1453	8.1853	yes
L1PBb	sense	L1	14	1295.3502	40.5486	446.1441	10.4531	3.8585	7.1558	yes
L1M3d	sense	L1	28	484.8085	13.5162	396.9645	9.0042	4.0306	6.5174	yes
L1M3de	sense	L1	20	447.2074	13.5162	531.0578	8.9299	3.8659	6.3979	yes
L1M2c	antisense	L1	18	68.2121	0.0000	3.9024	6.2148	6.0033	6.1091	yes
L1P3b	sense	L1	8	54.8283	0.0000	29.7965	6.0073	5.5647	5.7860	yes
L1P3	antisense	L1	136	132.9764	3.8402	46.4611	4.1136	6.8788	5.4962	yes
L1MEg2	sense	L1	50	604.6005	17.3563	273.1232	6.0844	4.4722	5.2783	yes
L1M3e	antisense	L1	24	34.3092	0.0000	75.4453	5.0095	5.2633	5.1364	yes
L1MCb	sense	L1	127	5248.8605	152.2157	2881.8073	5.6234	4.6486	5.1360	yes
L1MEg1	antisense	L1	27	33.9423	0.0000	7.7064	5.1812	5.0705	5.1258	yes
L1M2	antisense	L1	248	330.9283	46.0819	327.5170	1.9848	8.2051	5.0950	yes
L1P4a	sense	L1	35	1558.2651	82.0194	748.2457	6.6495	3.3018	4.9757	yes
L1M3c	sense	L1	65	1037.0830	45.1597	632.0661	3.7686	6.1288	4.9487	yes
L1M2c	sense	L1	40	4317.3485	152.2157	2432.7779	5.2893	4.4272	4.8582	yes
L1PA15-16	sense	L1	124	4302.7144	147.3021	2509.0743	4.9220	4.7943	4.8582	yes
L1MEg1	sense	L1	68	1016.1878	36.5572	275.5890	4.4840	5.1288	4.8064	yes
L1M2b	sense	L1	18	99.1597	6.7581	184.5688	6.6897	2.7417	4.7157	yes
L1M	antisense	L1	26	23.8110	0.0000	30.8049	4.7912	4.4551	4.6231	yes
L1PA8A	sense	L1	267	10318.9250	529.4442	6224.7173	5.5660	3.6590	4.6125	yes
L1M2a	antisense	L1	19	22.0017	0.0000	16.1836	4.5891	4.4551	4.5221	yes
L1M1	sense	L1	733	34199.8046	1574.5289	15098.3552	5.0491	3.9872	4.5181	yes
L1PA7	sense	L1	1432	69199.2945	3194.6859	30734.0453	4.8228	4.1445	4.4836	yes
L1PA15-16	antisense	L1	56	82.5005	6.7581	25.4922	6.4269	2.4796	4.4533	yes
L1M3e	sense	L1	69	2676.8138	122.2654	1153.8335	4.4715	4.4099	4.4407	yes
L1M4a1	sense	L1	239	7533.5532	360.3407	3025.4867	4.9188	3.9544	4.4366	yes
L1P3	sense	L1	371	14057.8051	727.7419	4577.2976	5.0751	3.7589	4.4170	yes
L1MEb	antisense	L1	62	104.3457	13.5162	4.8516	6.8622	1.7509	4.3066	yes
L1PA15	sense	L1	805	34592.7939	1838.1093	18545.6793	4.6455	3.9030	4.2743	yes
L1M6B	sense	L1	60	696.5532	38.5529	434.3966	4.8456	3.6761	4.2609	yes
L1PB1	sense	L1	1210	35347.0158	2006.7591	21151.9471	4.5782	3.7869	4.1826	yes
L1PBb	antisense	L1	5	17.5481	0.0000	1.0020	4.5054	3.8464	4.1759	yes
L1PA8	sense	L1	697	15857.1862	950.1540	11604.5372	4.6111	3.6803	4.1457	yes
L1MA3	sense	L1	801	39651.1866	2285.7002	15126.1225	4.4406	3.8359	4.1382	yes
L1MEb	sense	L1	176	4179.0344	266.3471	1741.5285	3.4878	4.7547	4.1213	yes
L1PA17	sense	L1	381	7927.1550	462.1806	3630.9876	4.2157	3.9819	4.0988	yes
L1PB3	sense	L1	294	10202.6965	693.0292	6000.3062	4.6967	3.3434	4.0200	yes
L1MA5	sense	L1	378	17166.0905	1102.2185	3588.8598	4.5186	3.5079	4.0133	yes
L1MEj	sense	L1	286	5398.6660	358.4962	2343.3870	4.5610	3.4523	4.0067	yes
L1M3d	antisense	L1	12	14.8420	0.0000	40.0664	3.9934	3.9779	3.9857	yes
L1PA5	sense	L1	1453	48104.7925	3369.6254	24805.2961	4.2988	3.5151	3.9069	yes
L1PA4	sense	L1	1479	46925.3179	3167.6683	19198.0430	4.0420	3.7605	3.9013	yes
L1MA10	sense	L1	439	7302.6626	493.9753	2838.9618	4.0183	3.7537	3.8860	yes
L1M3c	antisense	L1	20	13.8907	0.0000	6.7900	3.6215	4.1271	3.8743	yes
L1PB2	sense	L1	255	2836.0122	198.4489	2563.6708	4.2359	3.4985	3.8672	yes
L1M4c	sense	L1	285	6508.0787	507.0230	2780.3728	4.5336	3.1333	3.8335	yes
L1PA3	sense	L1	1524	31720.0665	2312.7326	13705.2971	3.9955	3.6057	3.8006	yes
L1PA10	sense	L1	703	17766.3877	1334.1554	9150.1222	4.0453	3.4849	3.7651	yes
L1MDb	sense	L1	82	449.8603	41.4708	355.2102	4.8570	2.6403	3.7487	yes
L1PA14	antisense	L1	107	204.6297	14.4384	120.5368	3.6281	3.8476	3.7378	yes
L1M2	sense	L1	813	18030.5460	1419.2440	9440.9192	4.1979	3.2558	3.7269	yes
L1PB4	sense	L1	639	12356.9906	1048.7587	7128.2516	4.4431	2.9855	3.7143	yes
L1MA4A	sense	L1	521	17693.4672	1419.2440	7951.8241	4.1919	3.2056	3.6987	yes
L1PA6	sense	L1	658	28407.1548	2359.1022	13141.5020	4.1390	3.2267	3.6829	yes
L1PBa	antisense	L1	61	81.5564	20.2743	40.4689	6.5080	0.8347	3.6713	yes
L1MCa	sense	L1	561	9456.0201	753.0959	4982.7879	3.8598	3.4547	3.6572	yes
L1MCb	antisense	L1	50	92.2966	26.8811	44.3208	0.7683	6.5441	3.6562	yes
L1MA1	sense	L1	329	9446.0419	757.7070	4731.3604	3.7080	3.5674	3.6377	yes
L1PREC2	sense	L1	746	23884.1358	1985.5626	10417.0557	4.0400	3.2239	3.6319	yes
L1MA9	sense	L1	1429	23280.1159	1957.7593	11144.8916	4.0702	3.1800	3.6251	yes
L1M8	sense	L1	165	5424.0962	440.8328	2308.8006	3.5360	3.7088	3.6224	yes
L1PA13	sense	L1	838	23884.3829	1999.2448	14354.9847	3.7578	3.4149	3.5864	yes
L1MC2	sense	L1	511	16155.5186	1432.4577	7180.8205	3.8959	3.1612	3.5285	yes
L1HS	sense	L1	276	6154.9382	534.2214	2221.1550	3.3939	3.6584	3.5262	yes
L1PA2	sense	L1	701	12846.6778	1128.7972	4567.4945	3.6598	3.3832	3.5215	yes
L1PA14	sense	L1	289	8456.8109	746.3378	4691.1968	3.6598	3.3570	3.5084	yes
L1M4b	sense	L1	364	8014.0339	738.0377	3991.0133	3.9683	3.0268	3.4976	yes
L1M7	sense	L1	317	4981.6289	448.6644	2047.7312	3.5331	3.4072	3.4701	yes
L1P4d	sense	L1	6	10.2793	0.0000	9.6905	3.7724	3.1527	3.4626	yes
L1MA4	sense	L1	883	28596.1468	2630.3777	10022.8432	3.7389	3.1787	3.4588	yes
L1MA6	sense	L1	467	9978.6649	915.9098	5460.4932	3.7079	3.2053	3.4566	yes
L1PA16	sense	L1	1283	35923.6955	3309.2858	19639.5385	3.7085	3.2000	3.4542	yes
L1MCc	sense	L1	211	3945.5796	386.4508	1606.8837	4.0043	2.8966	3.4505	yes
L1PA12	sense	L1	156	2667.1396	260.1940	2642.2443	3.9741	2.9189	3.4465	yes
L1M2b	antisense	L1	6	11.6205	0.0000	0.2769	4.2550	2.6201	3.4375	yes
L1MA5A	sense	L1	333	6379.2533	628.2150	3227.1655	3.8746	2.9356	3.4051	yes
L1MC1	sense	L1	1039	20757.3161	1977.5946	12902.3519	3.4637	3.3186	3.3911	yes
L1M6	sense	L1	555	7736.3206	793.9469	4114.5283	3.8302	2.8640	3.3471	yes
L1MB1	sense	L1	448	4546.6961	477.9950	3814.4269	3.9078	2.7820	3.3449	yes
L1MEf	sense	L1	1080	23880.2606	2557.1122	10777.0598	3.4491	3.0278	3.2385	yes
L1P5	antisense	L1	19	8.4154	0.0000	4.7532	3.2622	3.2074	3.2348	yes
L1M3f	sense	L1	69	1714.5314	196.6045	813.4396	3.7630	2.6886	3.2258	yes
L1ME2	sense	L1	1225	19272.7629	2073.4326	10550.6643	3.4395	3.0096	3.2246	yes
L1PA12	antisense	L1	51	76.9089	34.5615	172.2306	0.0742	6.3574	3.2158	yes
L1M6B	antisense	L1	17	8.4621	0.0000	2.9468	3.5114	2.9109	3.2111	yes
L1M4a2	sense	L1	182	3977.3049	446.0489	1959.1781	3.5691	2.8250	3.1970	yes
L1MEg	sense	L1	1321	27553.5574	3148.4528	10974.6306	3.5922	2.7606	3.1764	yes
L1MEh	antisense	L1	90	60.9663	23.0410	60.8790	0.5949	5.7231	3.1590	yes
L1PB	sense	L1	173	1658.7189	187.6994	1579.8938	3.0309	3.2483	3.1396	yes
L1P5	sense	L1	42	622.9349	77.1057	251.5820	3.7487	2.4945	3.1216	yes
L1MB2	sense	L1	836	16494.3641	1930.1219	8444.7186	3.3463	2.8746	3.1105	yes
L1MEc	sense	L1	1640	36244.4881	4306.8978	17316.5502	3.4403	2.7684	3.1044	yes
L1M3b	antisense	L1	17	24.2633	3.8402	46.1592	1.7198	4.4551	3.0875	yes
L1PA11	sense	L1	382	6353.8429	755.8625	3644.4583	3.1645	2.9793	3.0719	yes
L1MA7	sense	L1	737	8708.6958	1049.8470	5538.3495	3.3382	2.7996	3.0689	yes
L1MA8	sense	L1	938	13660.1681	1676.9885	6549.3415	3.3494	2.7506	3.0500	yes
L1MCc	antisense	L1	69	60.4673	26.8811	50.8524	0.3207	5.7692	3.0450	yes
