subfamily	orientation	family	K562_chrRNA_rep1	K562_chrRNA_rep2	K562_chr_Takara_rep1	K562_chr_Takara_rep2	K562_cyto_Takara_rep1	K562_cyto_Takara_rep2
Alu	antisense	Alu	1058	791	255	320	6	2
Alu	sense	Alu	6305	4898	2276	2938	48	53
AluJb	antisense	Alu	16781	12236	8371	11075	721	346
AluJb	sense	Alu	541973	419674	197733	276895	8439	4733
AluJo	antisense	Alu	12372	9416	5064	6897	392	220
AluJo	sense	Alu	320420	247210	116009	160804	5102	2798
AluJr	antisense	Alu	12929	9282	5577	7660	385	210
AluJr	sense	Alu	352693	275669	127990	176650	5346	3106
AluJr4	antisense	Alu	2339	1809	1077	1424	88	40
AluJr4	sense	Alu	88382	68970	34864	47238	1136	600
AluSc	antisense	Alu	2538	1929	1967	2647	155	60
AluSc	sense	Alu	70693	59293	35164	50763	2715	1507
AluSc5	antisense	Alu	559	464	425	538	37	7
AluSc5	sense	Alu	13003	11271	8097	11165	636	341
AluSc8	antisense	Alu	1579	1202	1080	1755	118	55
AluSc8	sense	Alu	41272	34317	20042	29510	2099	1199
AluSg	antisense	Alu	3135	2281	2531	3589	268	105
AluSg	sense	Alu	80627	66032	38035	57650	6698	3510
AluSg4	antisense	Alu	2716	2017	536	771	44	18
AluSg4	sense	Alu	16274	13561	6849	9793	904	507
AluSg7	antisense	Alu	797	692	461	687	51	12
AluSg7	sense	Alu	17791	15309	8060	12014	1199	737
AluSp	antisense	Alu	5257	4175	3243	4674	353	191
AluSp	sense	Alu	121010	100586	58793	87383	8358	4711
AluSq	antisense	Alu	1916	1538	913	1374	102	36
AluSq	sense	Alu	38909	31771	17084	25601	2288	1127
AluSq10	antisense	Alu	185	160	148	170	24	6
AluSq10	sense	Alu	4794	3630	1575	2110	321	170
AluSq2	antisense	Alu	6178	4773	3875	5504	401	185
AluSq2	sense	Alu	149743	123906	68104	101778	7463	3972
AluSq4	antisense	Alu	70	70	95	125	2	5
AluSq4	sense	Alu	5965	4677	2652	4106	247	107
AluSx	antisense	Alu	12372	9671	7193	10322	716	350
AluSx	sense	Alu	276338	223825	119357	175052	13105	7261
AluSx1	antisense	Alu	14469	11072	6569	9522	789	397
AluSx1	sense	Alu	266880	220428	115688	171992	11825	6535
AluSx3	antisense	Alu	2987	2252	1840	2506	124	85
AluSx3	sense	Alu	74124	60473	31557	45624	3368	1730
AluSx4	antisense	Alu	1437	1021	610	813	48	33
AluSx4	sense	Alu	22570	18699	10540	15407	1403	723
AluSz	antisense	Alu	10273	8148	6702	9527	614	361
AluSz	sense	Alu	273191	222866	120167	175508	10527	5655
AluSz6	antisense	Alu	5869	4519	3157	4277	224	98
AluSz6	sense	Alu	145292	116717	60828	87229	3307	1934
AluY	antisense	Alu	7910	6092	5841	8152	613	263
AluY	sense	Alu	164634	138040	103706	156607	16360	9026
AluYa5	antisense	Alu	568	406	182	182	53	47
AluYa5	sense	Alu	2931	2584	10820	13035	11472	6105
AluYa8	antisense	Alu	14	6	0	4	2	1
AluYa8	sense	Alu	354	245	124	175	104	123
AluYb8	antisense	Alu	569	379	118	230	23	12
AluYb8	sense	Alu	2961	2588	1870	2876	801	431
AluYb9	antisense	Alu	49	11	7	4	0	0
AluYb9	sense	Alu	247	234	133	183	68	25
AluYc	antisense	Alu	773	678	199	336	24	14
AluYc	sense	Alu	7226	6235	4116	6130	499	265
AluYc3	antisense	Alu	23	17	57	90	9	3
AluYc3	sense	Alu	953	871	1040	1636	236	128
AluYd8	antisense	Alu	22	13	6	12	0	4
AluYd8	sense	Alu	426	390	308	343	40	14
AluYe5	antisense	Alu	104	81	55	79	7	6
AluYe5	sense	Alu	1874	1514	1096	1542	224	161
AluYe6	antisense	Alu	28	14	14	12	2	1
AluYe6	sense	Alu	225	228	171	219	112	43
AluYf1	antisense	Alu	163	140	71	114	10	13
AluYf1	sense	Alu	2359	1987	1248	1844	211	115
AluYg6	antisense	Alu	63	35	26	27	3	2
AluYg6	sense	Alu	867	799	445	673	226	123
AluYh3	antisense	Alu	240	183	111	192	11	3
AluYh3	sense	Alu	4354	3533	2509	3196	673	450
AluYh3a3	antisense	Alu	12	4	24	30	32	24
AluYh3a3	sense	Alu	785	626	362	547	718	500
AluYh7	antisense	Alu	5	14	0	0	0	1
AluYh7	sense	Alu	65	56	27	39	9	6
AluYh9	antisense	Alu	0	0	3	5	1	0
AluYh9	sense	Alu	271	229	51	61	1	0
AluYi6	antisense	Alu	11	23	21	25	6	0
