cell_line	rbp	element	subfamily	orientation	obs_loci	pooled_loci_in_cat	fold_pooled	exp_loci_perm	fold_perm	q_hyper	n_perm	exceed	p_perm	q_perm
HepG2	HNRNPC	Alu	AluYf1	antisense	5	6	360.5173	0.1754	28.5063	2.126e-07	25000	0	4.000e-05	8.623e-05
HepG2	HNRNPC	Alu	AluYh9	antisense	4	5	288.4139	0.0740	54.0833	1.061e-05	25000	0	4.000e-05	8.623e-05
HepG2	ILF3	Alu	AluYc3	antisense	4	7	165.0099	0.0808	49.5050	8.718e-06	25000	0	4.000e-05	8.623e-05
HepG2	HNRNPC	Alu	AluYk3	antisense	6	9	144.2069	0.1847	32.4816	4.233e-08	25000	0	4.000e-05	8.623e-05
HepG2	HNRNPC	Alu	AluYe5	antisense	4	6	144.2069	0.1790	22.3414	3.024e-05	25000	0	4.000e-05	8.623e-05
HepG2	HNRNPC	Alu	AluYh3	antisense	11	17	132.1897	0.3853	28.5477	4.715e-15	25000	0	4.000e-05	8.623e-05
HepG2	HNRNPC	Alu	AluSq10	antisense	9	14	129.7862	0.3497	25.7349	3.428e-12	25000	0	4.000e-05	8.623e-05
HepG2	HNRNPC	Alu	AluSx4	antisense	82	128	128.5323	2.1984	37.2992	9.761e-116	25000	0	4.000e-05	8.623e-05
HepG2	HNRNPC	Alu	AluYm1	antisense	16	25	128.1839	0.5390	29.6824	5.341e-22	25000	0	4.000e-05	8.623e-05
HepG2	HNRNPC	Alu	AluYk2	antisense	5	8	120.1724	0.1220	40.9702	1.761e-06	25000	0	4.000e-05	8.623e-05
HepG2	HNRNPC	Alu	AluSc5	antisense	54	90	108.1552	1.3245	40.7695	1.713e-73	25000	0	4.000e-05	8.623e-05
HepG2	HNRNPC	Alu	AluSc	antisense	287	501	96.6995	7.6326	37.6017	0.000e+00	25000	0	4.000e-05	8.623e-05
HepG2	SMNDC1	L1	L1PA2	sense	5	49	95.3523	0.0369	135.4280	3.152e-07	25000	0	4.000e-05	8.623e-05
HepG2	HNRNPC	Alu	AluSg4	antisense	44	78	93.3104	1.3694	32.1309	5.227e-58	25000	0	4.000e-05	8.623e-05
HepG2	HLTF	L1	L1MA3	sense	25	42	92.5011	4.6600	5.3648	4.124e-32	25000	0	4.000e-05	8.623e-05
HepG2	HNRNPC	Alu	AluSx1	antisense	897	1611	90.5838	27.1153	33.0810	0.000e+00	25000	0	4.000e-05	8.623e-05
HepG2	HNRNPC	Alu	AluSz6	antisense	479	872	87.8818	15.0480	31.8314	0.000e+00	25000	0	4.000e-05	8.623e-05
HepG2	HLTF	L1	L1MDa	sense	29	50	86.8630	3.4715	8.3537	7.238e-37	25000	0	4.000e-05	8.623e-05
HepG2	HNRNPC	Alu	AluSq4	antisense	6	11	86.5242	0.2074	28.9296	2.131e-07	25000	0	4.000e-05	8.623e-05
HepG2	HNRNPC	Alu	AluSx3	antisense	259	478	85.2731	7.8341	33.0607	0.000e+00	25000	0	4.000e-05	8.623e-05
HepG2	ILF3	Alu	AluJr4	sense	72	177	84.8622	4.9592	14.5185	2.029e-98	25000	0	4.000e-05	8.623e-05
HepG2	HNRNPC	Alu	AluSc8	antisense	132	245	84.2271	4.3089	30.6344	1.991e-172	25000	0	4.000e-05	8.623e-05
HepG2	HNRNPC	Alu	AluSx	antisense	938	1749	83.3946	28.4474	32.9731	0.000e+00	25000	0	4.000e-05	8.623e-05
HepG2	HNRNPC	Alu	AluSg7	antisense	52	97	83.3196	1.5977	32.5472	4.609e-67	25000	0	4.000e-05	8.623e-05
HepG2	ILF3	Alu	AluJb	sense	601	1505	82.2768	34.2856	17.5292	0.000e+00	25000	0	4.000e-05	8.623e-05
HepG2	HNRNPC	Alu	AluY	antisense	309	580	82.2139	10.7282	28.8025	0.000e+00	25000	0	4.000e-05	8.623e-05
HepG2	HNRNPC	Alu	AluSz	antisense	873	1648	81.2211	27.2961	31.9826	0.000e+00	25000	0	4.000e-05	8.623e-05
HepG2	HNRNPC	Alu	AluSg	antisense	258	492	79.4987	7.7041	33.4886	0.000e+00	25000	0	4.000e-05	8.623e-05
HepG2	ILF3	Alu	AluJr	sense	332	890	73.6334	20.9183	15.8713	0.000e+00	25000	0	4.000e-05	8.623e-05
HepG2	HNRNPC	Alu	AluSq	antisense	113	230	69.6384	3.8933	29.0241	3.204e-141	25000	0	4.000e-05	8.623e-05
HepG2	HNRNPC	Alu	AluYc	antisense	17	35	68.0977	0.5776	29.4321	1.297e-20	25000	0	4.000e-05	8.623e-05
HepG2	ILF3	Alu	AluJo	sense	259	734	67.4804	19.2463	13.4571	0.000e+00	25000	0	4.000e-05	8.623e-05
HepG2	HLTF	L1	L1MEc	sense	35	69	64.7508	10.0990	3.4657	8.690e-42	25000	0	4.000e-05	8.623e-05
HepG2	HNRNPC	Alu	AluSq2	antisense	221	473	63.2336	9.6704	22.8532	3.836e-271	25000	0	4.000e-05	8.623e-05
HepG2	HNRNPC	Alu	AluSp	antisense	149	329	59.6856	7.5782	19.6618	1.267e-179	25000	0	4.000e-05	8.623e-05
HepG2	PCBP2	SVA	SVA_D	sense	8	16	58.3162	0.7459	10.7250	6.207e-09	25000	0	4.000e-05	8.623e-05
HepG2	HLTF	L1	L1PA3	sense	9	19	56.6107	1.1750	7.6596	4.206e-10	25000	0	4.000e-05	8.623e-05
HepG2	HLTF	L1	L1MB2	sense	26	56	54.5140	4.6106	5.6392	1.275e-29	25000	0	4.000e-05	8.623e-05
HepG2	ILF3	Alu	AluSz6	sense	92	302	54.2175	8.8930	10.3452	3.635e-112	25000	0	4.000e-05	8.623e-05
HepG2	EXOSC5	L1	L1PA17	antisense	5	69	53.7398	0.1380	36.2214	4.282e-06	25000	0	4.000e-05	8.623e-05
HepG2	ILF3	Alu	AluSz	sense	148	502	51.7404	16.1574	9.1599	8.644e-179	25000	0	4.000e-05	8.623e-05
HepG2	HNRNPC	Alu	AluJb	antisense	1309	3175	50.5806	58.6901	22.3036	0.000e+00	25000	0	4.000e-05	8.623e-05
HepG2	ILF3	Alu	AluSx	sense	160	555	50.1296	17.0198	9.4008	1.384e-191	25000	0	4.000e-05	8.623e-05
HepG2	ILF3	Alu	AluSq	sense	16	61	44.0026	2.3437	6.8268	6.287e-18	25000	0	4.000e-05	8.623e-05
HepG2	HNRNPC	Alu	AluJo	antisense	706	1907	42.3856	32.8556	21.4880	0.000e+00	25000	0	4.000e-05	8.623e-05
HepG2	HNRNPC	Alu	AluYj4	antisense	14	38	42.0604	0.5356	26.1370	7.373e-15	25000	0	4.000e-05	8.623e-05
HepG2	HLTF	L1	L1MEf	sense	29	73	41.4573	6.6457	4.3637	1.176e-30	25000	0	4.000e-05	8.623e-05
HepG2	ILF3	Alu	AluSg	sense	39	159	40.2212	4.6570	8.3746	6.030e-43	25000	0	4.000e-05	8.623e-05
HepG2	HLTF	L1	L1MEg	sense	23	59	40.1866	5.5272	4.1613	5.506e-24	25000	0	4.000e-05	8.623e-05
HepG2	HNRNPC	Alu	AluJr4	antisense	169	481	39.0560	8.4488	20.0028	8.289e-181	25000	0	4.000e-05	8.623e-05
HepG2	HNRNPM	L1	L1P4	antisense	18	37	37.7781	1.0124	17.7788	1.660e-17	25000	0	4.000e-05	8.623e-05
HepG2	MATR3	L1	L1P1	antisense	8	22	37.2316	0.3148	25.4130	5.668e-08	25000	0	4.000e-05	8.623e-05
HepG2	ILF3	Alu	AluSq2	sense	69	299	37.1272	5.8864	11.7219	1.837e-74	25000	0	4.000e-05	8.623e-05
HepG2	HLTF	L1	L1PA16	sense	17	46	36.8729	3.9985	4.2516	3.347e-17	25000	0	4.000e-05	8.623e-05
HepG2	HNRNPC	Alu	AluJr	antisense	659	1956	36.6355	35.8470	18.3837	0.000e+00	25000	0	4.000e-05	8.623e-05
HepG2	ILF3	Alu	AluSx4	sense	10	44	36.3992	1.3298	7.5197	2.033e-10	25000	0	4.000e-05	8.623e-05
HepG2	ILF3	Alu	AluSp	sense	53	234	36.2384	4.6663	11.3580	1.386e-56	25000	0	4.000e-05	8.623e-05
HepG2	ILF3	Alu	AluSx1	sense	127	569	35.5593	16.1620	7.8579	5.093e-136	25000	0	4.000e-05	8.623e-05
HepG2	ILF3	Alu	AluSc8	sense	20	92	34.3771	2.5860	7.7340	1.015e-20	25000	0	4.000e-05	8.623e-05
HepG2	ILF3	Alu	AluSc	sense	28	132	33.3193	4.5419	6.1648	8.138e-29	25000	0	4.000e-05	8.623e-05
HepG2	HNRNPM	L1	L1M3e	antisense	10	22	33.2307	0.5698	17.5488	3.261e-09	25000	0	4.000e-05	8.623e-05
HepG2	HNRNPC	Alu	Alu	antisense	15	48	32.7743	0.6968	21.5282	1.006e-14	25000	0	4.000e-05	8.623e-05
HepG2	ILF3	Alu	AluJr	antisense	409	1956	32.7193	20.9063	19.5635	0.000e+00	25000	0	4.000e-05	8.623e-05
HepG2	HLTF	L1	L1M4	sense	28	82	32.6152	7.6174	3.6758	2.024e-27	25000	0	4.000e-05	8.623e-05
HepG2	ILF3	Alu	Alu	antisense	10	48	32.5677	0.4242	23.5760	5.001e-10	25000	0	4.000e-05	8.623e-05
HepG2	ILF3	Alu	AluJo	antisense	379	1907	30.6964	19.2906	19.6468	0.000e+00	25000	0	4.000e-05	8.623e-05
HepG2	HNRNPL	L1	L1PB4	sense	13	40	30.4691	2.2068	5.8908	2.795e-12	25000	0	4.000e-05	8.623e-05
HepG2	ILF3	Alu	AluJr4	antisense	93	481	29.6635	4.9338	18.8496	5.195e-93	25000	0	4.000e-05	8.623e-05
HepG2	HLTF	L1	L1PA15	sense	25	79	29.1207	3.9844	6.2745	1.706e-23	25000	0	4.000e-05	8.623e-05
HepG2	ILF3	Alu	AluJb	antisense	571	3175	27.1373	34.2594	16.6670	0.000e+00	25000	0	4.000e-05	8.623e-05
HepG2	SUGP2	L1	L1MEj	antisense	14	28	27.1108	0.8038	17.4164	1.350e-11	25000	0	4.000e-05	8.623e-05
HepG2	MATR3	L1	L1P2	antisense	22	75	27.0456	1.4502	15.1707	3.575e-20	25000	0	4.000e-05	8.623e-05
HepG2	MATR3	L1	L1PA10	antisense	31	106	26.9308	1.8535	16.7253	1.695e-28	25000	0	4.000e-05	8.623e-05
HepG2	MATR3	L1	L1PA3	antisense	19	66	26.3394	1.1674	16.2755	3.280e-17	25000	0	4.000e-05	8.623e-05
HepG2	MATR3	L1	L1PA6	antisense	63	219	26.3127	4.1996	15.0016	7.489e-58	25000	0	4.000e-05	8.623e-05
HepG2	MATR3	L1	L1PA7	antisense	102	356	26.1647	5.9216	17.2252	5.882e-94	25000	0	4.000e-05	8.623e-05
HepG2	ILF3	Alu	AluYc	antisense	6	35	25.6050	0.3460	17.3430	2.114e-05	25000	0	4.000e-05	8.623e-05
HepG2	ILF3	Alu	AluSx3	sense	32	190	25.0648	4.7069	6.7985	1.255e-29	25000	0	4.000e-05	8.623e-05
HepG2	MATR3	L1	L1P3	antisense	11	40	24.7141	0.7390	14.8842	1.295e-09	25000	0	4.000e-05	8.623e-05
HepG2	ILF3	Alu	AluY	sense	42	257	24.1759	6.6966	6.2718	1.901e-38	25000	0	4.000e-05	8.623e-05
HepG2	MATR3	L1	L1PA4	antisense	20	74	24.1316	1.4560	13.7366	1.553e-17	25000	0	4.000e-05	8.623e-05
HepG2	POLR2G	Alu	AluJr	antisense	25	1956	23.8341	1.4768	16.9290	1.145e-23	25000	0	4.000e-05	8.623e-05
HepG2	MATR3	L1	L1PA11	antisense	25	94	23.6070	1.4974	16.6956	8.650e-22	25000	0	4.000e-05	8.623e-05
HepG2	HNRNPK	L1	L1PA8	antisense	19	95	23.5047	1.3627	13.9431	7.751e-17	25000	0	4.000e-05	8.623e-05
HepG2	POLR2G	Alu	AluSx	antisense	22	1749	23.4516	1.1602	18.9629	1.190e-20	25000	0	4.000e-05	8.623e-05
HepG2	POLR2G	Alu	AluSx3	antisense	6	478	23.4019	0.3239	18.5231	1.934e-05	25000	0	4.000e-05	8.623e-05
HepG2	MATR3	L1	L1PA5	antisense	56	214	23.0930	3.7008	15.1319	7.922e-49	25000	0	4.000e-05	8.623e-05
