cell_line	rbp	element	subfamily	orientation	n_peaks_rbp	loci_in_cat	bg_loci_in_cat	n_peaks_bg	pooled_loci_in_cat	fold_enrichment	p_fisher_greater	q_BH
HepG2	AGGF1	L1	L1MC5a	sense	5235	0	52	932317	52	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1MC5a	antisense	5235	3	356	932317	359	1.5008	3.246e-01	1.000e+00
HepG2	AGGF1	Alu	AluSp	sense	5235	0	234	932317	234	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	Alu	AluSp	antisense	5235	0	329	932317	329	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1MB3	sense	5235	0	112	932317	112	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1MB3	antisense	5235	0	579	932317	579	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	Alu	AluJo	sense	5235	9	725	932317	734	2.2108	2.403e-02	5.769e-01
HepG2	AGGF1	Alu	AluJo	antisense	5235	8	1899	932317	1907	0.7503	8.336e-01	1.000e+00
HepG2	AGGF1	L1	L1MB5	sense	5235	1	53	932317	54	3.3602	2.609e-01	1.000e+00
HepG2	AGGF1	L1	L1MB5	antisense	5235	0	279	932317	279	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	Alu	Alu	sense	5235	0	21	932317	21	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	Alu	Alu	antisense	5235	0	48	932317	48	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1PA6	sense	5235	0	16	932317	16	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1PA6	antisense	5235	0	219	932317	219	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1P1	sense	5235	0	1	932317	1	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1P1	antisense	5235	0	22	932317	22	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	Alu	AluJr	sense	5235	14	876	932317	890	2.8462	6.262e-04	2.306e-02
