cell_line	rbp	element	subfamily	orientation	n_peaks_rbp	loci_in_cat	bg_loci_in_cat	n_peaks_bg	pooled_loci_in_cat	fold_enrichment	p_fisher_greater	q_BH
K562	AARS	L1	L1MC5a	sense	1457	1	162	883938	163	3.7450	2.355e-01	1.000e+00
K562	AARS	L1	L1MC5a	antisense	1457	0	346	883938	346	0.0000	1.000e+00	1.000e+00
K562	AARS	Alu	AluSp	sense	1457	0	196	883938	196	0.0000	1.000e+00	1.000e+00
K562	AARS	Alu	AluSp	antisense	1457	0	216	883938	216	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1MB3	sense	1457	0	161	883938	161	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1MB3	antisense	1457	0	431	883938	431	0.0000	1.000e+00	1.000e+00
K562	AARS	Alu	AluJo	sense	1457	1	579	883938	580	1.0478	6.154e-01	1.000e+00
K562	AARS	Alu	AluJo	antisense	1457	3	1066	883938	1069	1.7074	2.584e-01	1.000e+00
K562	AARS	L1	L1MB5	sense	1457	0	78	883938	78	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1MB5	antisense	1457	0	236	883938	236	0.0000	1.000e+00	1.000e+00
K562	AARS	Alu	Alu	sense	1457	0	55	883938	55	0.0000	1.000e+00	1.000e+00
K562	AARS	Alu	Alu	antisense	1457	0	36	883938	36	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1PA6	sense	1457	0	38	883938	38	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1PA6	antisense	1457	0	194	883938	194	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1P1	sense	1457	0	8	883938	8	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1P1	antisense	1457	0	28	883938	28	0.0000	1.000e+00	1.000e+00
K562	AARS	Alu	AluJr	sense	1457	1	708	883938	709	0.8569	6.891e-01	1.000e+00
K562	AARS	Alu	AluJr	antisense	1457	0	1085	883938	1085	0.0000	1.000e+00	1.000e+00
K562	AARS	Alu	AluSx	sense	1457	2	406	883938	408	2.9886	1.458e-01	1.000e+00
K562	AARS	Alu	AluSx	antisense	1457	0	888	883938	888	0.0000	1.000e+00	1.000e+00
K562	AARS	Alu	AluSz6	sense	1457	1	239	883938	240	2.5384	3.265e-01	1.000e+00
K562	AARS	Alu	AluSz6	antisense	1457	0	436	883938	436	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1MA8	sense	1457	1	105	883938	106	5.7779	1.602e-01	1.000e+00
K562	AARS	L1	L1MA8	antisense	1457	0	143	883938	143	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1M5	sense	1457	0	317	883938	317	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1M5	antisense	1457	0	881	883938	881	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1MA9	sense	1457	0	71	883938	71	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1MA9	antisense	1457	0	215	883938	215	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1PA14	sense	1457	0	12	883938	12	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1PA14	antisense	1457	0	70	883938	70	0.0000	1.000e+00	1.000e+00
K562	AARS	Alu	AluYj4	sense	1457	0	12	883938	12	0.0000	1.000e+00	1.000e+00
K562	AARS	Alu	AluYj4	antisense	1457	0	16	883938	16	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1ME4c	sense	1457	0	43	883938	43	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1ME4c	antisense	1457	0	138	883938	138	0.0000	1.000e+00	1.000e+00
K562	AARS	Alu	AluSc	sense	1457	0	108	883938	108	0.0000	1.000e+00	1.000e+00
K562	AARS	Alu	AluSc	antisense	1457	0	227	883938	227	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1PA4	sense	1457	0	46	883938	46	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1PA4	antisense	1457	0	97	883938	97	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1PA7	sense	1457	0	101	883938	101	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1PA7	antisense	1457	0	289	883938	289	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1PA16	sense	1457	0	131	883938	131	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1PA16	antisense	1457	0	274	883938	274	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1PA2	sense	1457	0	41	883938	41	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1PA2	antisense	1457	0	28	883938	28	0.0000	1.000e+00	1.000e+00
K562	AARS	Alu	AluSz	sense	1457	1	374	883938	375	1.6221	4.608e-01	1.000e+00
K562	AARS	Alu	AluSz	antisense	1457	0	810	883938	810	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1M2	sense	1457	0	63	883938	63	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1M2	antisense	1457	0	308	883938	308	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1PREC2	sense	1457	0	28	883938	28	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1PREC2	antisense	1457	0	167	883938	167	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1PB	sense	1457	0	4	883938	4	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1PB	antisense	1457	0	26	883938	26	0.0000	1.000e+00	1.000e+00
K562	AARS	Alu	AluSc5	sense	1457	0	36	883938	36	0.0000	1.000e+00	1.000e+00
K562	AARS	Alu	AluSc5	antisense	1457	0	53	883938	53	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1M4	sense	1457	0	138	883938	138	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1M4	antisense	1457	0	472	883938	472	0.0000	1.000e+00	1.000e+00
K562	AARS	Alu	AluY	sense	1457	1	240	883938	241	2.5278	3.276e-01	1.000e+00
K562	AARS	Alu	AluY	antisense	1457	0	285	883938	285	0.0000	1.000e+00	1.000e+00
K562	AARS	Alu	AluSg4	sense	1457	0	17	883938	17	0.0000	1.000e+00	1.000e+00
K562	AARS	Alu	AluSg4	antisense	1457	0	38	883938	38	0.0000	1.000e+00	1.000e+00
K562	AARS	Alu	AluSx3	sense	1457	0	131	883938	131	0.0000	1.000e+00	1.000e+00
