cell_line	rbp	element	subfamily	orientation	n_peaks_rbp	loci_in_cat	bg_loci_in_cat	n_peaks_bg	pooled_loci_in_cat	fold_enrichment	p_fisher_greater	q_BH
HepG2	HNRNPC	Alu	AluSc	antisense	12825	287	214	924727	501	96.6995	0.000e+00	0.000e+00
HepG2	HNRNPC	Alu	AluSx1	antisense	12825	897	714	924727	1611	90.5838	0.000e+00	0.000e+00
HepG2	HNRNPC	Alu	AluSz6	antisense	12825	479	393	924727	872	87.8818	0.000e+00	0.000e+00
HepG2	HNRNPC	Alu	AluSx3	antisense	12825	259	219	924727	478	85.2731	0.000e+00	0.000e+00
HepG2	HNRNPC	Alu	AluSx	antisense	12825	938	811	924727	1749	83.3946	0.000e+00	0.000e+00
HepG2	ILF3	Alu	AluJb	sense	7515	601	904	930037	1505	82.2768	0.000e+00	0.000e+00
HepG2	HNRNPC	Alu	AluY	antisense	12825	309	271	924727	580	82.2139	0.000e+00	0.000e+00
HepG2	HNRNPC	Alu	AluSz	antisense	12825	873	775	924727	1648	81.2211	0.000e+00	0.000e+00
HepG2	HNRNPC	Alu	AluSg	antisense	12825	258	234	924727	492	79.4987	0.000e+00	0.000e+00
HepG2	ILF3	Alu	AluJr	sense	7515	332	558	930037	890	73.6334	0.000e+00	0.000e+00
HepG2	ILF3	Alu	AluJo	sense	7515	259	475	930037	734	67.4804	0.000e+00	0.000e+00
HepG2	HNRNPC	Alu	AluJb	antisense	12825	1309	1866	924727	3175	50.5806	0.000e+00	0.000e+00
HepG2	HNRNPC	Alu	AluJo	antisense	12825	706	1201	924727	1907	42.3856	0.000e+00	0.000e+00
HepG2	HNRNPC	Alu	AluJr	antisense	12825	659	1297	924727	1956	36.6355	0.000e+00	0.000e+00
HepG2	ILF3	Alu	AluJr	antisense	7515	409	1547	930037	1956	32.7193	0.000e+00	0.000e+00
HepG2	ILF3	Alu	AluJo	antisense	7515	379	1528	930037	1907	30.6964	0.000e+00	0.000e+00
HepG2	ILF3	Alu	AluJb	antisense	7515	571	2604	930037	3175	27.1373	0.000e+00	0.000e+00
HepG2	HNRNPC	Alu	AluSq2	antisense	12825	221	252	924727	473	63.2336	1.945e-274	3.836e-271
HepG2	ILF3	Alu	AluSz	antisense	7515	227	1421	930037	1648	19.7698	1.797e-197	3.358e-194
HepG2	ILF3	Alu	AluSx	sense	7515	160	395	930037	555	50.1296	7.796e-195	1.384e-191
HepG2	HNRNPC	Alu	AluJr4	antisense	12825	169	312	924727	481	39.0560	4.903e-184	8.289e-181
HepG2	HNRNPC	Alu	AluSp	antisense	12825	149	180	924727	329	59.6856	7.851e-183	1.267e-179
HepG2	ILF3	Alu	AluSz	sense	7515	148	354	930037	502	51.7404	5.600e-182	8.644e-179
HepG2	ILF3	Alu	AluSx1	antisense	7515	211	1400	930037	1611	18.6520	6.430e-179	9.511e-176
HepG2	HNRNPC	Alu	AluSc8	antisense	12825	132	113	924727	245	84.2271	1.402e-175	1.991e-172
HepG2	HNRNPL	L1	L1MC4	antisense	14585	205	668	922967	873	19.4204	2.570e-171	3.509e-168
HepG2	SUGP2	L1	L1MEc	antisense	33352	238	459	904200	697	14.0575	3.252e-160	4.276e-157
HepG2	ILF3	Alu	AluSx	antisense	7515	199	1550	930037	1749	15.8889	1.326e-156	1.682e-153
HepG2	HNRNPC	Alu	AluSq	antisense	12825	113	117	924727	230	69.6384	2.617e-144	3.204e-141
HepG2	ILF3	Alu	AluSx1	sense	7515	127	442	930037	569	35.5593	4.304e-139	5.093e-136
HepG2	ILF3	Alu	AluSz6	antisense	7515	131	741	930037	872	21.8788	1.615e-119	1.849e-116
HepG2	HNRNPC	Alu	AluSx4	antisense	12825	82	46	924727	128	128.5323	8.798e-119	9.761e-116
HepG2	ILF3	Alu	AluSz6	sense	7515	92	210	930037	302	54.2175	3.379e-115	3.635e-112
HepG2	SUGP2	L1	L1MEf	antisense	33352	149	268	904200	417	15.0728	2.968e-104	3.100e-101
HepG2	ILF3	Alu	AluJr4	sense	7515	72	105	930037	177	84.8622	2.001e-101	2.029e-98
HepG2	MATR3	L1	L1PA7	antisense	14172	102	254	923380	356	26.1647	5.964e-97	5.882e-94
HepG2	ILF3	Alu	AluJr4	antisense	7515	93	388	930037	481	29.6635	5.414e-96	5.195e-93
HepG2	SUGP2	L1	L1M4	antisense	33352	144	335	904200	479	11.6536	6.432e-89	6.009e-86
HepG2	MATR3	L1	L1MEc	antisense	14172	122	575	923380	697	13.8242	8.224e-88	7.487e-85
