subfamily	family	orientation	n_genes	n_copies	n_contacts	te_frac	ctl_exp_frac	z_gene	p_gene	q_gene	shift_mean	shift_sd	z_shift	p_shift	q_shift
L1PA2	L1	sense	335	841	2556	0.0743349	0.0278323	16.3713	1.5326e-60	4.81238e-58	0.0538509	0.0717924	0.285322	0.387699	0.999762
AluSc5	Alu	sense	1040	1556	4019	0.0415526	0.0265642	6.38489	8.57598e-11	1.34643e-08	0.0399102	0.0117175	0.14017	0.444263	0.999762
L1PA3	L1	antisense	415	1253	2884	0.0766297	0.0534335	6.21835	2.51202e-10	2.62924e-08	0.0474691	0.0256167	1.13835	0.127488	0.999762
SVA_D	SVA	antisense	82	146	325	0.0707692	0.0262653	5.50992	1.79498e-08	1.40906e-06	0.0385989	0.0248973	1.29212	0.0981572	0.999762
L1PA5	L1	antisense	570	1423	6899	0.0495724	0.038315	5.38411	3.64025e-08	2.28607e-06	0.0365579	0.0126096	1.03211	0.15101	0.999762
L1PA3	L1	sense	734	1840	7965	0.048462	0.0391206	4.64319	1.71532e-06	8.97684e-05	0.0381441	0.0218227	0.472808	0.318175	0.999762
AluYm1	Alu	sense	661	1096	2059	0.0437105	0.0290815	4.28259	9.23644e-06	0.00041432	0.0433843	0.0310864	0.0104957	0.495813	0.999762
L1PA2	L1	antisense	175	576	811	0.0517879	0.0297919	4.15504	1.62612e-05	0.000638253	0.0318574	0.0300421	0.663418	0.253531	0.999762
AluYa5	Alu	sense	256	842	538	0.0464684	0.0224689	4.02667	2.82864e-05	0.000986883	0.033706	0.017283	0.738439	0.230124	0.999762
SVA_F	SVA	sense	99	248	593	0.0455312	0.0245525	3.50604	0.000227416	0.00714087	0.0298411	0.0156231	1.00429	0.15762	0.999762
L1M4b	L1	sense	227	855	4797	0.0391912	0.0324442	2.77766	0.00273762	0.0781467	0.0378605	0.0472283	0.0281746	0.488761	0.999762
L1MA8	L1	antisense	521	1303	4108	0.0394352	0.03269	2.64028	0.00414194	0.108381	0.0354446	0.0234082	0.170479	0.432317	0.999762
L1PA4	L1	antisense	485	1370	5051	0.051475	0.0447135	2.60308	0.00461953	0.111579	0.0447326	0.0551125	0.122338	0.451316	0.999762
L1HS	L1	sense	104	270	732	0.0601093	0.0433294	2.47309	0.00669751	0.150216	0.0380655	0.0472092	0.46694	0.320271	0.999762
AluSx4	Alu	antisense	1374	2029	6082	0.0425847	0.0376243	2.24661	0.0123324	0.258157	0.0485213	0.0130134	-0.456196	0.675876	0.999762
L1MCb	L1	sense	82	191	1415	0.0586572	0.0469637	2.19477	0.0140901	0.276519	0.0436518	0.0269889	0.555985	0.28911	0.999762
AluSq4	Alu	antisense	269	356	984	0.0599593	0.0474774	2.01662	0.0218677	0.399967	0.057833	0.0202293	0.105111	0.458144	0.999762
AluYj4	Alu	sense	347	635	1000	0.037	0.0275436	1.99672	0.022928	0.399967	0.0532878	0.0207502	-0.784945	0.783757	0.999762
AluYa5	Alu	antisense	118	637	242	0.0371901	0.0207805	1.919	0.0274922	0.454345	0.0341283	0.0170236	0.179858	0.428632	0.999762
AluYk3	Alu	sense	148	256	410	0.0707317	0.0529773	1.87387	0.0304744	0.478449	0.0393607	0.0219975	1.42611	0.0769176	0.999762
L1P4a	L1	antisense	20	36	664	0.112952	0.0961604	1.66806	0.0476514	0.712502	0.0655136	0.0714381	0.664047	0.25333	0.999762
AluSq	Alu	antisense	2035	3209	9887	0.0441995	0.0411918	1.63249	0.0512884	0.732026	0.0464048	0.0134206	-0.164325	0.565262	0.999762
SVA_E	SVA	sense	61	159	270	0.0518519	0.0357613	1.57482	0.0576495	0.787041	0.0929194	0.0539441	-0.7613	0.776761	0.999762
AluY	Alu	sense	6667	25162	45609	0.0352562	0.0341486	1.42225	0.0774774	1	0.0409796	0.00499854	-1.145	0.873896	0.999762
L1P4	L1	antisense	183	391	1146	0.0401396	0.0335342	1.36364	0.0863408	1	0.0392908	0.0212138	0.0400115	0.484042	0.999762
L1PB	L1	antisense	81	166	437	0.0251716	0.0174582	1.30488	0.0959671	1	0.0303582	0.0244289	-0.212314	0.584069	0.999762
AluSc5	Alu	antisense	839	1283	3106	0.0389569	0.035211	1.22556	0.110182	1	0.0427569	0.0134585	-0.282349	0.611162	0.999762
AluYk4	Alu	sense	139	222	396	0.0479798	0.0380473	1.10931	0.133647	1	0.0442073	0.0179597	0.210051	0.416814	0.999762
AluYb8	Alu	antisense	126	532	246	0.0487805	0.0367831	1.07122	0.142036	1	0.032647	0.0222879	0.72387	0.234573	0.999762
Alu	Alu	sense	360	991	911	0.0439078	0.0379483	1.0153	0.154982	1	0.0400202	0.0150272	0.258702	0.397933	0.999762
Alu	Alu	antisense	276	835	529	0.0359168	0.0297103	0.938901	0.173891	1	0.0539647	0.0687202	-0.262628	0.603581	0.999762
L1M3b	L1	antisense	15	46	283	0.0353357	0.0275152	0.843939	0.199352	1	0.0236723	0.0284075	0.410574	0.340692	0.999762
L1ME3E	L1	antisense	231	656	2179	0.0647086	0.0621336	0.596892	0.27529	1	0.0444086	0.0272783	0.744181	0.228383	0.999762
L1MEg2	L1	antisense	20	53	237	0.021097	0.0164393	0.56748	0.285194	1	0.0144151	0.0190336	0.351061	0.362771	0.999762
AluSc8	Alu	sense	2905	5350	12931	0.0347228	0.0339937	0.50119	0.308119	1	0.0423969	0.00903436	-0.849435	0.80218	0.999762
