subfamily	family	orientation	n_genes	n_copies	n_contacts	te_frac	ctl_exp_frac	z_gene	p_gene	q_gene	shift_mean	shift_sd	z_shift	p_shift	q_shift
L1M4b	L1	sense	225	855	4756	0.0384777	0.0301566	3.53432	0.000204414	0.0625506	0.0414487	0.0677382	-0.0438603	0.517492	1
L1MA8	L1	antisense	516	1298	4042	0.0385948	0.0305869	3.20018	0.000686702	0.105065	0.0332716	0.0219464	0.242552	0.404176	1
L1MCb	L1	sense	81	191	1402	0.0592011	0.0467121	2.3418	0.00959551	0.978742	0.0401411	0.024813	0.768146	0.2212	1
L1PA3	L1	antisense	303	1251	1151	0.0677672	0.0560658	1.93563	0.0264567	1	0.0426472	0.0166372	1.50987	0.0655387	1
L1P4a	L1	antisense	20	36	654	0.114679	0.095999	1.84744	0.0323419	1	0.0782592	0.0757226	0.480962	0.315272	1
L1PA5	L1	antisense	464	1422	4104	0.0389864	0.0348273	1.59406	0.0554608	1	0.0329528	0.0123309	0.489301	0.312314	1
AluSq4	Alu	antisense	235	356	779	0.0539153	0.0439188	1.47329	0.0703362	1	0.0568329	0.0197016	-0.148089	0.558864	1
L1PB	L1	antisense	80	164	407	0.022113	0.0140414	1.45167	0.0732968	1	0.0279802	0.0226869	-0.258615	0.602034	1
L1M3b	L1	antisense	15	46	282	0.035461	0.0233412	1.42208	0.0775012	1	0.0205993	0.0316524	0.46953	0.319346	1
L1ME3E	L1	antisense	230	656	2147	0.065673	0.0605542	1.19036	0.116952	1	0.03684	0.0260661	1.10615	0.134331	1
L1PA2	L1	sense	264	834	985	0.0314721	0.026441	1.10128	0.135388	1	0.0412636	0.0519689	-0.18841	0.574723	1
L1MB3	L1	antisense	908	2362	8674	0.0262855	0.0247456	1.00511	0.157421	1	0.0266817	0.0103143	-0.0384147	0.515321	1
L1MC5	L1	antisense	864	2018	5957	0.0354205	0.033606	0.86152	0.194476	1	0.0367815	0.0143988	-0.0945184	0.537651	1
