level	name	family	n_copies	n_bins	n_eff	copies_per_bin	top_chrom_frac	gc_mean	speckle_mean	speckle_se	speckle_resid	speckle_resid_se	lamina_mean	lamina_se	lamina_resid	lamina_resid_se	nucleolus_MKI67IP_mean	nucleolus_MKI67IP_se	nucleolus_MKI67IP_resid	nucleolus_MKI67IP_resid_se	nucleolus_POL1RE_mean	nucleolus_POL1RE_se	nucleolus_POL1RE_resid	nucleolus_POL1RE_resid_se	lam_minus_nuc	lam_minus_nuc_se	lam_minus_nuc_resid	lam_minus_nuc_resid_se
background	all_usable_bins	-	142486	142486	1.4249e+05	1	nan	0.40903	-0.1264	nan	0	nan	-0.2561	nan	0	nan	-0.19601	nan	0	nan	-0.08192	nan	0	nan	-0.060095	nan	0	nan
family	Alu	Alu	1126545	138346	73686	8.143	0.083212	0.43014	0.17954	0.0025337	0.11622	0.0015634	-0.70296	0.0032813	-0.18164	0.0026076	-0.081417	0.0016342	0.010036	0.0014286	0.050123	0.0011275	0.024882	0.00076061	-0.62154	0.0045348	-0.19168	0.0035808
family	L1	L1	918537	133981	92669	6.8557	0.084109	0.39842	-0.16835	0.001734	0.045138	0.0010828	-0.26736	0.0032204	-0.12135	0.0025735	-0.20248	0.0016489	0.037715	0.001492	-0.10647	0.001085	0.021592	0.0008063	-0.064872	0.004533	-0.15906	0.0036862
family	SVA	SVA	5318	4606	3841.5	1.1546	0.09162	0.43388	0.16443	0.0096499	0.070522	0.0063361	-0.73843	0.014474	-0.15186	0.011887	-0.057877	0.0087626	0.0093071	0.0080842	0.0548	0.0053996	0.0059904	0.0042056	-0.68055	0.021128	-0.16116	0.017631
subfamily	Alu	Alu	4365	4103	3318.8	1.0639	0.082379	0.42984	0.17776	0.01232	0.1194	0.0069288	-0.70945	0.01604	-0.20208	0.011757	-0.054823	0.0087828	0.041834	0.0077992	0.060438	0.0059805	0.040332	0.003988	-0.65463	0.022732	-0.24392	0.017109
subfamily	AluJb	Alu	125640	65561	44074	1.9164	0.088849	0.43068	0.18908	0.0030114	0.12145	0.0019199	-0.73321	0.0040996	-0.20111	0.0033563	-0.093407	0.0020803	-0.0059565	0.001818	0.050327	0.001419	0.02116	0.00097793	-0.6398	0.0056798	-0.19515	0.0045765
subfamily	AluJo	Alu	77886	48065	33886	1.6204	0.090398	0.43463	0.22979	0.0036809	0.1268	0.0022258	-0.78726	0.0047416	-0.21801	0.0037818	-0.060995	0.0024783	0.011098	0.0021253	0.073889	0.0017069	0.028346	0.0011288	-0.72626	0.0066671	-0.22911	0.0052295
subfamily	AluJr	Alu	84987	51868	36210	1.6385	0.086103	0.43223	0.19245	0.0034151	0.1105	0.0021187	-0.75021	0.004636	-0.20614	0.0036898	-0.069327	0.0024692	0.012888	0.0021034	0.062249	0.0016721	0.027345	0.0011056	-0.68089	0.0065656	-0.21903	0.0051245
subfamily	AluJr4	Alu	20137	16915	14562	1.1905	0.095182	0.42055	0.092772	0.0049453	0.11386	0.0031318	-0.63279	0.0075336	-0.211	0.0062136	-0.14375	0.0036973	-0.012251	0.0032299	0.0023029	0.0025795	0.018979	0.0018254	-0.48904	0.010364	-0.19875	0.008412
subfamily	AluSc	Alu	34670	28630	24259	1.211	0.083619	0.42077	0.071491	0.0041129	0.089713	0.0024541	-0.55492	0.0061916	-0.13639	0.0047987	-0.12189	0.003003	0.010635	0.0026376	0.0015899	0.00208	0.019128	0.0014136	-0.43303	0.0085648	-0.14703	0.006689
subfamily	AluSc5	Alu	6678	6319	5989.2	1.0568	0.081658	0.42095	0.066263	0.0083094	0.083473	0.0049009	-0.5446	0.012584	-0.12885	0.0096245	-0.11864	0.0062485	0.014443	0.0054752	0.001435	0.0043067	0.019343	0.0029079	-0.42597	0.017505	-0.1433	0.013522
subfamily	AluSc8	Alu	21831	18914	16575	1.1542	0.082531	0.42544	0.13823	0.0052352	0.11583	0.0031194	-0.64502	0.0074952	-0.17688	0.005851	-0.091556	0.0037122	0.021186	0.0033191	0.030889	0.0025646	0.027597	0.0017908	-0.55346	0.01039	-0.19806	0.0082239
subfamily	AluSg	Alu	36490	28961	23871	1.26	0.089085	0.43005	0.18706	0.0043046	0.12597	0.0026042	-0.68872	0.0060224	-0.16868	0.0047556	-0.082636	0.002948	0.0095012	0.0025843	0.049057	0.0020413	0.02467	0.0013732	-0.60609	0.0083262	-0.17819	0.0065729
subfamily	AluSg4	Alu	7152	6670	6228.8	1.0723	0.090405	0.42997	0.19761	0.0083669	0.1354	0.0050939	-0.72109	0.012036	-0.19925	0.0093673	-0.066675	0.0060227	0.024825	0.0052637	0.05905	0.0041668	0.03407	0.0028111	-0.65442	0.016742	-0.22407	0.013062
subfamily	AluSg7	Alu	8617	7972	7389.1	1.0809	0.087055	0.42739	0.15953	0.0077665	0.1196	0.0046502	-0.6855	0.011162	-0.19388	0.0089132	-0.066868	0.0057689	0.036476	0.0052026	0.051654	0.0038967	0.038871	0.0028144	-0.61863	0.015715	-0.23035	0.01273
subfamily	AluSp	Alu	50280	35580	26822	1.4132	0.090247	0.43191	0.22156	0.0040069	0.1428	0.0025224	-0.7472	0.0055607	-0.20173	0.0045158	-0.065317	0.0028226	0.016899	0.0025331	0.066877	0.0019152	0.032417	0.0013574	-0.68188	0.007761	-0.21863	0.0063319
subfamily	AluSq	Alu	18779	16247	14244	1.1558	0.086847	0.43367	0.22293	0.0055332	0.12701	0.0033591	-0.75233	0.0076497	-0.19137	0.0060829	-0.059291	0.0038863	0.016303	0.0034439	0.071107	0.0026666	0.029248	0.0018436	-0.69303	0.0107	-0.20768	0.0085462
subfamily	AluSq10	Alu	2038	1958	1839.4	1.0409	0.078141	0.43038	0.211	0.015235	0.1402	0.0093808	-0.77234	0.022021	-0.24036	0.017764	-0.045523	0.01191	0.042091	0.010404	0.068263	0.0080508	0.039012	0.0054454	-0.72682	0.031355	-0.28245	0.025085
subfamily	AluSq2	Alu	60728	42929	32723	1.4146	0.084582	0.4301	0.17562	0.0036003	0.11099	0.0022274	-0.68677	0.005032	-0.16146	0.0040579	-0.08201	0.0024955	0.00801	0.0022228	0.049565	0.0017169	0.023095	0.0011901	-0.60476	0.0069633	-0.16947	0.0056226
subfamily	AluSq4	Alu	1795	1752	1712.9	1.0245	0.091895	0.42702	0.17871	0.016621	0.14041	0.0094417	-0.68636	0.023727	-0.20419	0.018488	-0.084821	0.011263	0.021444	0.0099318	0.041963	0.0080004	0.031923	0.0052691	-0.60154	0.032647	-0.22564	0.025644
subfamily	AluSx	Alu	116425	63295	42441	1.8394	0.083182	0.43465	0.22991	0.0032598	0.1272	0.0020072	-0.75593	0.0042882	-0.18451	0.0034299	-0.063316	0.002139	0.0081424	0.0018728	0.07078	0.0014799	0.024808	0.0010018	-0.69261	0.0059404	-0.19265	0.0047223
subfamily	AluSx1	Alu	116227	63919	42983	1.8183	0.081932	0.43643	0.23842	0.0033235	0.12006	0.002027	-0.75894	0.0042978	-0.17187	0.0033843	-0.058737	0.002165	0.0062327	0.0018813	0.07554	0.0014983	0.022577	0.00099762	-0.7002	0.0059752	-0.17811	0.0046768
subfamily	AluSx3	Alu	32211	26125	21340	1.233	0.086278	0.42869	0.17224	0.0046298	0.12201	0.0028502	-0.68439	0.0064922	-0.18038	0.005038	-0.08055	0.0033899	0.017782	0.0029281	0.046035	0.0022854	0.027999	0.0015246	-0.60384	0.0091272	-0.19816	0.0070504
subfamily	AluSx4	Alu	10987	10103	9355.5	1.0875	0.090468	0.42557	0.141	0.0066729	0.11831	0.0040467	-0.65102	0.009936	-0.1784	0.0078901	-0.093915	0.0048988	0.017137	0.0043118	0.030961	0.003367	0.026366	0.0022825	-0.5571	0.013791	-0.19553	0.010969
subfamily	AluSz	Alu	102570	60080	42223	1.7072	0.086302	0.43167	0.18597	0.0031114	0.10761	0.001936	-0.71672	0.0042731	-0.17236	0.0034692	-0.082434	0.0021482	7.5877e-05	0.0018825	0.054345	0.001474	0.01999	0.0010066	-0.63428	0.0059284	-0.17243	0.0047646
subfamily	AluSz6	Alu	47726	35493	28156	1.3447	0.086947	0.42748	0.15706	0.0036915	0.11542	0.0023506	-0.69585	0.0053224	-0.19316	0.0043641	-0.099346	0.0026338	0.00010943	0.0023053	0.038595	0.0018017	0.022077	0.0012458	-0.5965	0.007353	-0.19327	0.005951
subfamily	AluY	Alu	104948	65398	46728	1.6048	0.082678	0.42299	0.10328	0.0033475	0.10538	0.0019098	-0.58558	0.0045821	-0.15619	0.0034329	-0.1002	0.0022275	0.027411	0.0019708	0.016	0.001568	0.027772	0.0010592	-0.48539	0.0063371	-0.1836	0.0048487
subfamily	AluYa5	Alu	3832	3777	3704.4	1.0146	0.090283	0.40064	-0.17349	0.0091164	0.022805	0.005519	-0.21147	0.015967	-0.036612	0.012475	-0.21286	0.0082899	0.015742	0.0073443	-0.10675	0.0054977	0.0096982	0.0039224	0.0013847	0.022754	-0.052355	0.018084
subfamily	AluYa8	Alu	329	319	310.15	1.0313	0.07837	0.41945	0.04762	0.03901	0.085364	0.023975	-0.5911	0.056904	-0.21276	0.044708	-0.034087	0.035287	0.11359	0.031202	0.03678	0.022726	0.068929	0.016824	-0.55702	0.08582	-0.32635	0.068359
subfamily	AluYb8	Alu	2817	2778	2741.1	1.014	0.079914	0.40528	-0.14018	0.010546	0.014198	0.0062501	-0.27038	0.0183	-0.038052	0.014329	-0.18821	0.0095548	0.018075	0.008534	-0.08358	0.0063629	0.0096012	0.0045793	-0.082174	0.025981	-0.056127	0.020707
subfamily	AluYb9	Alu	325	322	319.11	1.0093	0.090062	0.40274	-0.16123	0.029851	0.02055	0.016685	-0.21638	0.05181	-0.016279	0.039272	-0.1914	0.026991	0.027605	0.024065	-0.099161	0.01768	0.0074792	0.012822	-0.02498	0.073172	-0.043884	0.056841
