level	name	family	n_copies	n_bins	n_eff	copies_per_bin	top_chrom_frac	gc_mean	speckle_mean	speckle_se	speckle_resid	speckle_resid_se	lamina_mean	lamina_se	lamina_resid	lamina_resid_se	nucleolus_MKI67IP_mean	nucleolus_MKI67IP_se	nucleolus_MKI67IP_resid	nucleolus_MKI67IP_resid_se	nucleolus_POL1RE_mean	nucleolus_POL1RE_se	nucleolus_POL1RE_resid	nucleolus_POL1RE_resid_se	lam_minus_nuc	lam_minus_nuc_se	lam_minus_nuc_resid	lam_minus_nuc_resid_se
background	all_usable_bins	-	139980	139980	1.3998e+05	1	nan	0.40879	-0.12885	nan	0	nan	-0.23643	nan	0	nan	-0.21171	nan	0	nan	-0.090621	nan	0	nan	-0.024718	nan	0	nan
family	Alu	Alu	1101415	135933	72295	8.1026	0.083688	0.42989	0.17775	0.0025625	0.049295	0.0013032	-0.68732	0.0033328	-0.084972	0.0024212	-0.09639	0.0016085	0.033695	0.0013013	0.042104	0.0011282	0.020235	0.00070784	-0.59093	0.004573	-0.11867	0.0034158
family	L1	L1	900643	131581	91147	6.8448	0.084632	0.39816	-0.17105	0.0017463	0.037965	0.00094537	-0.24562	0.0032232	-0.10199	0.0023189	-0.21966	0.001594	0.042296	0.001378	-0.11604	0.0010647	0.021386	0.0007552	-0.025968	0.0044842	-0.14428	0.0034688
family	SVA	SVA	5223	4524	3772.6	1.1545	0.091733	0.4337	0.16158	0.0097354	0.022676	0.0051288	-0.7277	0.014597	-0.085826	0.010919	-0.067503	0.0087743	0.029565	0.0064412	0.048754	0.0054092	0.0030209	0.0034836	-0.6602	0.021246	-0.11539	0.01603
subfamily	Alu	Alu	4232	3984	3214.3	1.0622	0.081827	0.42902	0.17388	0.012584	0.061486	0.0055836	-0.68517	0.016326	-0.11023	0.010821	-0.080531	0.0083622	0.049965	0.0066511	0.045532	0.0058621	0.02925	0.0034924	-0.60464	0.022702	-0.1602	0.015859
subfamily	AluJb	Alu	123244	64361	43327	1.9149	0.088485	0.4305	0.18852	0.0030431	0.044167	0.0016078	-0.7203	0.0041388	-0.079575	0.0030664	-0.10708	0.0020177	0.024786	0.0016342	0.043359	0.0014062	0.016303	0.0008991	-0.61323	0.0056722	-0.10436	0.0043018
subfamily	AluJo	Alu	76247	47123	33346	1.618	0.089701	0.43432	0.22801	0.0036982	0.053135	0.0018536	-0.77365	0.0048046	-0.1064	0.0034963	-0.07491	0.0024375	0.039225	0.0019458	0.066366	0.0016996	0.023442	0.0010572	-0.69874	0.0067022	-0.14563	0.0049923
subfamily	AluJr	Alu	83002	50851	35733	1.6323	0.085308	0.43179	0.18831	0.0034413	0.045768	0.001765	-0.73482	0.0046925	-0.10456	0.0034257	-0.08281	0.0024467	0.039406	0.0018763	0.054572	0.0016729	0.02348	0.0010189	-0.65201	0.0066076	-0.14397	0.0048814
subfamily	AluJr4	Alu	19796	16649	14338	1.189	0.095261	0.42039	0.091886	0.0049887	0.042399	0.0026488	-0.62014	0.0075798	-0.085738	0.0055135	-0.1569	0.003548	0.020867	0.0028959	-0.0054026	0.0025074	0.014277	0.0016042	-0.46324	0.010288	-0.1066	0.0077316
subfamily	AluSc	Alu	33894	28051	23846	1.2083	0.08399	0.42054	0.070074	0.0041554	0.043477	0.002049	-0.53631	0.0062547	-0.071376	0.0043646	-0.13859	0.0029261	0.025632	0.0024128	-0.0074707	0.002066	0.01571	0.0013105	-0.39772	0.0085667	-0.097008	0.0063026
subfamily	AluSc5	Alu	6520	6166	5842.6	1.0574	0.080603	0.42092	0.066332	0.0084179	0.042284	0.0040323	-0.52314	0.012716	-0.064064	0.0086023	-0.1389	0.0060582	0.020209	0.0048359	-0.0089794	0.0042685	0.012446	0.0026475	-0.38425	0.017486	-0.084273	0.012463
subfamily	AluSc8	Alu	21254	18456	16200	1.1516	0.083171	0.42509	0.13583	0.0052989	0.057138	0.0025525	-0.62692	0.0075808	-0.096427	0.0053132	-0.10863	0.0036128	0.038652	0.0030098	0.021586	0.0025501	0.022837	0.0016483	-0.5183	0.010399	-0.13508	0.0077145
subfamily	AluSg	Alu	35715	28384	23414	1.2583	0.088536	0.42969	0.18398	0.0043458	0.054549	0.0021799	-0.67362	0.0060952	-0.07766	0.0044091	-0.095877	0.0028979	0.034859	0.0023983	0.041708	0.0020377	0.021021	0.001295	-0.57774	0.0083601	-0.11252	0.0062879
subfamily	AluSg4	Alu	6930	6465	6039.3	1.0719	0.089714	0.4294	0.19276	0.0085092	0.063212	0.0042182	-0.70025	0.012257	-0.10257	0.008712	-0.086081	0.0059162	0.044175	0.004844	0.048264	0.004162	0.027506	0.0026334	-0.61417	0.0169	-0.14674	0.012565
subfamily	AluSg7	Alu	8361	7737	7185.4	1.0807	0.087631	0.427	0.15488	0.0078323	0.050336	0.0038475	-0.66124	0.011283	-0.097103	0.0081311	-0.089617	0.0055671	0.046513	0.0046234	0.039501	0.0038516	0.02857	0.0025691	-0.57163	0.015642	-0.14362	0.011869
subfamily	AluSp	Alu	49084	34783	26266	1.4111	0.089469	0.43161	0.2208	0.0040529	0.058756	0.0021373	-0.73069	0.0056271	-0.087594	0.0042865	-0.082278	0.0027303	0.04132	0.0022791	0.057851	0.0018838	0.024854	0.0012514	-0.64842	0.007756	-0.12891	0.006081
subfamily	AluSq	Alu	18278	15825	13897	1.155	0.085624	0.43351	0.21923	0.0055891	0.056089	0.0027885	-0.73337	0.0077555	-0.091511	0.0056072	-0.075206	0.0038153	0.03904	0.0031213	0.062327	0.0026547	0.023779	0.0016929	-0.65816	0.010744	-0.13055	0.0080704
subfamily	AluSq10	Alu	1973	1902	1806.4	1.0373	0.078339	0.42961	0.20987	0.015338	0.065777	0.0077179	-0.7569	0.022395	-0.12956	0.015993	-0.067401	0.011443	0.06246	0.0092128	0.055997	0.0078303	0.030391	0.0049132	-0.6895	0.031323	-0.19202	0.023275
subfamily	AluSq2	Alu	59351	42050	32109	1.4114	0.084114	0.42989	0.17309	0.0036368	0.0449	0.0018614	-0.67107	0.0050986	-0.069094	0.0037332	-0.096831	0.0024404	0.031208	0.0020191	0.04174	0.0017136	0.018852	0.0011051	-0.57424	0.0069907	-0.1003	0.005308
subfamily	AluSq4	Alu	1762	1719	1680	1.025	0.09075	0.42692	0.17995	0.016794	0.071615	0.0079809	-0.67106	0.023908	-0.10825	0.016853	-0.1018	0.01086	0.042365	0.0088183	0.033715	0.0079647	0.026594	0.004861	-0.56925	0.032505	-0.15062	0.023924
subfamily	AluSx	Alu	113869	62032	41643	1.8356	0.082506	0.43435	0.22709	0.0032907	0.053878	0.0016828	-0.74166	0.0043509	-0.085168	0.0032004	-0.077016	0.0021096	0.034818	0.0017352	0.063237	0.0014769	0.020577	0.00094272	-0.66464	0.0059868	-0.11999	0.0045353
subfamily	AluSx1	Alu	113449	62692	42365	1.8096	0.081557	0.43611	0.23498	0.003357	0.0518	0.0016934	-0.74427	0.0043589	-0.081335	0.0031396	-0.072045	0.0021375	0.031431	0.0017022	0.068213	0.0015018	0.019103	0.00092372	-0.67222	0.0060229	-0.11277	0.0044465
subfamily	AluSx3	Alu	31493	25565	20951	1.2319	0.08586	0.4284	0.17268	0.00467	0.054795	0.0023151	-0.66803	0.0065601	-0.087399	0.0046139	-0.097823	0.0032528	0.038007	0.0025934	0.036927	0.0022473	0.022054	0.0013903	-0.5702	0.009093	-0.12541	0.0066384
subfamily	AluSx4	Alu	10716	9877	9163.2	1.0849	0.090412	0.42516	0.13819	0.0067268	0.053017	0.0033875	-0.63072	0.010031	-0.085614	0.007265	-0.11078	0.0047466	0.038187	0.0039596	0.022175	0.0033445	0.021939	0.0021593	-0.51994	0.013769	-0.1238	0.01044
subfamily	AluSz	Alu	100607	58953	41460	1.7066	0.085288	0.43153	0.18537	0.0031447	0.041882	0.0016488	-0.70334	0.0043248	-0.072579	0.0031902	-0.095476	0.0021043	0.027367	0.0017185	0.047603	0.0014715	0.016765	0.00093883	-0.60787	0.0059549	-0.099946	0.0045153
subfamily	AluSz6	Alu	46826	34808	27600	1.3453	0.086359	0.42729	0.15534	0.0037346	0.045927	0.0019721	-0.68133	0.0053782	-0.080925	0.0039697	-0.11186	0.0025927	0.029835	0.0021283	0.03174	0.0017978	0.018257	0.0011613	-0.56946	0.0073772	-0.11076	0.0056185
subfamily	AluY	Alu	102342	64064	45882	1.5975	0.081856	0.42288	0.10329	0.0033958	0.052825	0.0015476	-0.56634	0.0046547	-0.089395	0.0031115	-0.11836	0.0021769	0.040516	0.0018145	0.0064929	0.0015662	0.022738	0.00098715	-0.44798	0.006376	-0.12991	0.004569
subfamily	AluYa5	Alu	3729	3683	3631.6	1.0125	0.091773	0.40053	-0.1778	0.0089682	0.015321	0.0045311	-0.17825	0.015729	-0.02166	0.011033	-0.23534	0.0079199	0.01102	0.0067196	-0.1183	0.00538	0.0070952	0.0036701	0.057089	0.022147	-0.03268	0.01669
subfamily	AluYa8	Alu	323	313	304.17	1.0319	0.079872	0.41908	0.045117	0.039406	0.07398	0.017685	-0.57742	0.057525	-0.17089	0.042582	-0.047851	0.035102	0.079542	0.025028	0.028089	0.022626	0.047729	0.014553	-0.52957	0.086244	-0.25043	0.064091
subfamily	AluYb8	Alu	2763	2724	2687.1	1.0143	0.081131	0.40513	-0.14119	0.010626	0.0082148	0.0052008	-0.24786	0.018326	-0.024715	0.012846	-0.20793	0.0092033	0.014162	0.0077187	-0.093854	0.0062666	0.0068225	0.0042293	-0.039933	0.025663	-0.038877	0.01925
subfamily	AluYb9	Alu	312	309	306.11	1.0097	0.093851	0.40265	-0.15748	0.030871	0.023267	0.014556	-0.18789	0.053246	-0.021906	0.036175	-0.22943	0.02585	0.0063077	0.022143	-0.11744	0.017629	-0.00020473	0.012168	0.041541	0.073754	-0.028214	0.053802
subfamily	AluYc	Alu	4444	4315	4187.7	1.0299	0.085516	0.4175	0.026108	0.0099515	0.039028	0.004641	-0.46226	0.015198	-0.063869	0.010027	-0.15372	0.0072878	0.024371	0.0058421	-0.026897	0.0052167	0.01572	0.003197	-0.30855	0.02098	-0.08824	0.014685
subfamily	AluYc3	Alu	533	526	519.36	1.0133	0.10076	0.42513	0.15474	0.029651	0.054167	0.013575	-0.66222	0.041264	-0.11599	0.030127	-0.072921	0.021317	0.072601	0.017322	0.047579	0.014522	0.044848	0.0097177	-0.5893	0.057773	-0.18859	0.044242
subfamily	AluYd8	Alu	231	231	231	1	0.095238	0.40534	-0.12602	0.034486	0.00092379	0.018231	-0.28227	0.061155	-0.0016234	0.045277	-0.23532	0.029227	-0.0034244	0.025712	-0.09011	0.020345	0.0064911	0.014197	-0.046949	0.084927	0.001801	0.067398
subfamily	AluYe5	Alu	1275	1260	1243.8	1.0119	0.092063	0.41772	0.055507	0.018061	0.050483	0.0085285	-0.53365	0.027566	-0.10103	0.019556	-0.11841	0.01367	0.057157	0.011397	-0.003628	0.0094382	0.032521	0.0063479	-0.41524	0.038293	-0.15818	0.028977
subfamily	AluYe6	Alu	192	190	188.08	1.0105	0.10526	0.42741	0.17427	0.052234	0.058396	0.023225	-0.65836	0.07581	-0.11999	0.046943	-0.11715	0.031732	0.020763	0.025098	0.013774	0.024906	0.0062552	0.014774	-0.54121	0.10087	-0.14075	0.066713
subfamily	AluYf1	Alu	1835	1789	1742	1.0257	0.077138	0.42385	0.1105	0.016375	0.058172	0.0074074	-0.57095	0.023865	-0.098084	0.016578	-0.10349	0.011714	0.047695	0.00979	0.012449	0.0082689	0.024818	0.0053443	-0.46745	0.033324	-0.14578	0.024695
subfamily	AluYg6	Alu	834	812	778.03	1.0271	0.080049	0.41388	-0.015567	0.021982	0.024297	0.010708	-0.40873	0.034256	-0.037598	0.022967	-0.17155	0.015981	0.020537	0.012979	-0.044185	0.011626	0.011887	0.007358	-0.23718	0.04665	-0.058134	0.033304
subfamily	AluYh3	Alu	2577	2508	2442.4	1.0275	0.084928	0.41729	0.036334	0.013858	0.037583	0.0061761	-0.45337	0.020233	-0.052616	0.013426	-0.14927	0.0093743	0.031087	0.007822	-0.026078	0.0068713	0.016306	0.0043211	-0.3041	0.027716	-0.083702	0.019755
subfamily	AluYh3a3	Alu	321	308	295.25	1.0422	0.081169	0.43254	0.27337	0.041668	0.1128	0.018187	-0.75254	0.056594	-0.13498	0.035749	-0.059962	0.02584	0.066973	0.020469	0.0702	0.019027	0.042605	0.011039	-0.69258	0.07734	-0.20195	0.051825
subfamily	AluYh7	Alu	156	142	94.326	1.0986	0.070423	0.42998	0.22955	0.10129	0.11072	0.033904	-0.71358	0.0894	-0.16896	0.060606	-0.013817	0.048751	0.09374	0.040959	0.088367	0.037794	0.062049	0.021567	-0.69976	0.12703	-0.2627	0.095915
subfamily	AluYh9	Alu	133	116	88.005	1.1466	0.10345	0.42471	0.083119	0.077855	0.067977	0.027522	-0.71665	0.10893	-0.20985	0.071723	0.06836	0.076518	0.11246	0.046744	0.11742	0.049571	0.077491	0.026155	-0.78501	0.17216	-0.32232	0.11364
subfamily	AluYi6	Alu	437	434	431.08	1.0069	0.089862	0.41352	-0.023322	0.029649	0.028092	0.014489	-0.43835	0.047758	-0.069073	0.03257	-0.15803	0.024432	0.022422	0.018273	-0.043619	0.017028	0.0085083	0.010756	-0.28032	0.066781	-0.091495	0.047377
subfamily	AluYi6_4d	Alu	149	146	143.23	1.0205	0.10274	0.41713	0.0011722	0.05151	0.027997	0.022758	-0.42656	0.085099	-0.05735	0.052463	-0.15202	0.039997	0.014248	0.032633	-0.026143	0.02865	0.015022	0.018057	-0.27453	0.1176	-0.071598	0.078391
subfamily	AluYj4	Alu	3367	3109	1916.6	1.083	0.082342	0.42087	0.047269	0.012703	0.045479	0.0056891	-0.57006	0.023544	-0.1187	0.019209	-0.057247	0.022804	0.069449	0.01252	0.030989	0.012872	0.040205	0.0075146	-0.51282	0.04379	-0.18815	0.030887
subfamily	AluYk11	Alu	1212	1186	1160.3	1.0219	0.088533	0.4294	0.2012	0.019074	0.068407	0.0095363	-0.72767	0.027316	-0.10821	0.019701	-0.07653	0.013651	0.049726	0.010819	0.047587	0.0094821	0.022324	0.00584	-0.65114	0.038059	-0.15793	0.028208
subfamily	AluYk12	Alu	200	194	188.68	1.0309	0.082474	0.41489	0.042123	0.048726	0.073762	0.023093	-0.49002	0.072617	-0.12229	0.045906	-0.11438	0.034842	0.075731	0.027245	-0.014771	0.024676	0.038339	0.014776	-0.37564	0.10155	-0.19802	0.067852
subfamily	AluYk2	Alu	755	739	722.47	1.0217	0.081191	0.42209	0.062119	0.024109	0.028284	0.011222	-0.52529	0.036222	-0.058001	0.024831	-0.12382	0.017212	0.031282	0.014243	0.0029852	0.0121	0.020724	0.0077561	-0.40147	0.049609	-0.089283	0.036177
subfamily	AluYk3	Alu	1123	1104	1086.2	1.0172	0.083333	0.41826	0.035088	0.019819	0.04	0.0088833	-0.47257	0.030184	-0.064146	0.019156	-0.1332	0.01423	0.033753	0.010893	-0.017177	0.01034	0.017339	0.0060241	-0.33938	0.04133	-0.097899	0.027798
subfamily	AluYk4	Alu	993	980	965.77	1.0133	0.091837	0.41425	-0.013079	0.019865	0.028933	0.0090634	-0.42836	0.031763	-0.066191	0.021604	-0.16555	0.015833	0.02855	0.013426	-0.049904	0.011188	0.0078491	0.007429	-0.26281	0.044609	-0.094741	0.03279
subfamily	AluYm1	Alu	4576	4384	4204.8	1.0438	0.081432	0.41834	0.047073	0.010091	0.040693	0.004699	-0.49575	0.015554	-0.078814	0.010873	-0.12863	0.0075767	0.045036	0.0064593	-0.010471	0.0052789	0.02576	0.0035101	-0.36712	0.021699	-0.12385	0.016303
subfamily	L1HS	L1	1522	1264	1115.8	1.2041	0.096519	0.38527	-0.38638	0.0096047	-0.008574	0.006319	0.12837	0.023614	0.00037829	0.020333	-0.25068	0.015393	0.042585	0.013893	-0.18778	0.0091081	0.014986	0.0076139	0.37905	0.036461	-0.042207	0.032523
subfamily	L1M	L1	716	653	603.12	1.0965	0.081164	0.40666	-0.079126	0.025463	0.054081	0.012417	-0.35416	0.040243	-0.10234	0.028833	-0.20495	0.019378	0.02281	0.016831	-0.076019	0.013588	0.02211	0.009239	-0.14921	0.055445	-0.12515	0.042887
subfamily	L1M1	L1	9193	4714	3082.7	1.9501	0.16398	0.38398	-0.33316	0.0089157	0.015981	0.0049271	-0.022729	0.017812	-0.099145	0.013264	-0.26535	0.0092901	0.05341	0.0082799	-0.19404	0.0059167	0.014735	0.0044924	0.24262	0.025336	-0.15256	0.02043
subfamily	L1M2	L1	8911	5325	3509.7	1.6734	0.092207	0.38796	-0.2768	0.0083817	0.037613	0.0049871	-0.11496	0.017043	-0.13199	0.01312	-0.2245	0.0089874	0.078042	0.0080621	-0.15669	0.0056467	0.033013	0.004264	0.10954	0.024277	-0.21004	0.020072
subfamily	L1M2a	L1	447	220	143.23	2.0318	0.12273	0.38946	-0.26672	0.043254	0.027414	0.02617	-0.16178	0.076645	-0.14047	0.065023	-0.20895	0.041123	0.099141	0.041191	-0.14186	0.025239	0.042213	0.021501	0.047166	0.10979	-0.23961	0.10195
subfamily	L1M2a1	L1	108	70	49.846	1.5429	0.11429	0.39382	-0.25977	0.067063	0.024797	0.043209	-0.11806	0.13085	-0.13112	0.10392	-0.23785	0.079676	0.047963	0.075732	-0.17242	0.04575	-0.00071073	0.039282	0.11979	0.19298	-0.17908	0.1703
