level	name	family	n_copies	n_bins	n_eff	copies_per_bin	top_chrom_frac	gc_mean	speckle_mean	speckle_se	speckle_resid	speckle_resid_se	lamina_mean	lamina_se	lamina_resid	lamina_resid_se	nucleolus_MKI67IP_mean	nucleolus_MKI67IP_se	nucleolus_MKI67IP_resid	nucleolus_MKI67IP_resid_se	nucleolus_POL1RE_mean	nucleolus_POL1RE_se	nucleolus_POL1RE_resid	nucleolus_POL1RE_resid_se	lam_minus_nuc	lam_minus_nuc_se	lam_minus_nuc_resid	lam_minus_nuc_resid_se
background	all_usable_bins	-	142486	142486	1.4249e+05	1	nan	0.40903	-0.1264	nan	0	nan	-0.2561	nan	0	nan	-0.19601	nan	0	nan	-0.08192	nan	0	nan	-0.060095	nan	0	nan
family	Alu	Alu	1126545	138346	73686	8.143	0.083212	0.43014	0.17954	0.0025337	0.1209	0.0015199	-0.70296	0.0032813	-0.18164	0.0025953	-0.081417	0.0016342	0.010418	0.0014236	0.050123	0.0011275	0.025788	0.00074738	-0.62154	0.0045348	-0.19206	0.0035618
family	L1	L1	918537	133981	92669	6.8557	0.084109	0.39842	-0.16835	0.001734	0.049501	0.0010638	-0.26736	0.0032204	-0.1236	0.0025647	-0.20248	0.0016489	0.038933	0.0014885	-0.10647	0.001085	0.023117	0.00079987	-0.064872	0.004533	-0.16254	0.003673
family	SVA	SVA	5318	4606	3841.5	1.1546	0.09162	0.43388	0.16443	0.0096499	0.074888	0.0061607	-0.73843	0.014474	-0.14995	0.011824	-0.057877	0.0087626	0.0089492	0.0080988	0.0548	0.0053996	0.0062785	0.004197	-0.68055	0.021128	-0.1589	0.017593
subfamily	Alu	Alu	4365	4103	3318.8	1.0639	0.082379	0.42984	0.17776	0.01232	0.12132	0.0069913	-0.70945	0.01604	-0.20085	0.011697	-0.054823	0.0087828	0.041372	0.0076937	0.060438	0.0059805	0.04029	0.0038838	-0.65463	0.022732	-0.24222	0.016937
subfamily	AluJb	Alu	125640	65561	44074	1.9164	0.088849	0.43068	0.18908	0.0030114	0.12661	0.0018651	-0.73321	0.0040996	-0.20145	0.0033445	-0.093407	0.0020803	-0.0054204	0.0018106	0.050327	0.001419	0.022236	0.0009612	-0.6398	0.0056798	-0.19603	0.0045551
subfamily	AluJo	Alu	77886	48065	33886	1.6204	0.090398	0.43463	0.22979	0.0036809	0.13139	0.0021363	-0.78726	0.0047416	-0.21751	0.0037651	-0.060995	0.0024783	0.011333	0.0021206	0.073889	0.0017069	0.029133	0.0011091	-0.72626	0.0066671	-0.22884	0.0052064
subfamily	AluJr	Alu	84987	51868	36210	1.6385	0.086103	0.43223	0.19245	0.0034151	0.11534	0.0020476	-0.75021	0.004636	-0.20606	0.0036738	-0.069327	0.0024692	0.013341	0.0020989	0.062249	0.0016721	0.028299	0.0010897	-0.68089	0.0065656	-0.2194	0.0051019
subfamily	AluJr4	Alu	20137	16915	14562	1.1905	0.095182	0.42055	0.092772	0.0049453	0.11998	0.0030663	-0.63279	0.0075336	-0.21259	0.0061976	-0.14375	0.0036973	-0.011091	0.0032224	0.0023029	0.0025795	0.020576	0.0018059	-0.48904	0.010364	-0.2015	0.0083861
subfamily	AluSc	Alu	34670	28630	24259	1.211	0.083619	0.42077	0.071491	0.0041129	0.095262	0.0023892	-0.55492	0.0061916	-0.13742	0.0047766	-0.12189	0.003003	0.011471	0.0026288	0.0015899	0.00208	0.020506	0.0013934	-0.43303	0.0085648	-0.14889	0.0066555
