level	name	family	n_copies	n_bins	n_eff	copies_per_bin	top_chrom_frac	gc_mean	speckle_mean	speckle_se	speckle_resid	speckle_resid_se	lamina_mean	lamina_se	lamina_resid	lamina_resid_se	nucleolus_MKI67IP_mean	nucleolus_MKI67IP_se	nucleolus_MKI67IP_resid	nucleolus_MKI67IP_resid_se	nucleolus_POL1RE_mean	nucleolus_POL1RE_se	nucleolus_POL1RE_resid	nucleolus_POL1RE_resid_se	lam_minus_nuc	lam_minus_nuc_se	lam_minus_nuc_resid	lam_minus_nuc_resid_se
background	all_usable_bins	-	139980	139980	1.3998e+05	1	nan	0.40879	-0.12885	nan	0	nan	-0.23643	nan	0	nan	-0.21171	nan	0	nan	-0.090621	nan	0	nan	-0.024718	nan	0	nan
family	Alu	Alu	1101415	135933	72295	8.1026	0.083688	0.42989	0.17775	0.0025625	0.072018	0.001745	-0.68732	0.0033328	-0.12191	0.0026564	-0.09639	0.0016085	0.060526	0.0015469	0.042104	0.0011282	0.041073	0.00097276	-0.59093	0.004573	-0.18244	0.0039228
family	L1	L1	900643	131581	91147	6.8448	0.084632	0.39816	-0.17105	0.0017463	-0.014445	0.001262	-0.24562	0.0032232	-0.041699	0.0025301	-0.21966	0.001594	-0.0021367	0.0015603	-0.11604	0.0010647	-0.015278	0.00095454	-0.025968	0.0044842	-0.039563	0.0038807
family	SVA	SVA	5223	4524	3772.6	1.1545	0.091733	0.4337	0.16158	0.0097354	0.08395	0.0071228	-0.7277	0.014597	-0.17522	0.012652	-0.067503	0.0087743	0.095285	0.0081801	0.048754	0.0054092	0.055262	0.0051445	-0.6602	0.021246	-0.27051	0.019687
subfamily	Alu	Alu	4232	3984	3214.3	1.0622	0.081827	0.42902	0.17388	0.012584	0.090216	0.0092411	-0.68517	0.016326	-0.15213	0.012931	-0.080531	0.0083622	0.079975	0.0081194	0.045532	0.0058621	0.052877	0.0052351	-0.60464	0.022702	-0.23211	0.019768
subfamily	AluJb	Alu	123244	64361	43327	1.9149	0.088485	0.4305	0.18852	0.0030431	0.055168	0.0021513	-0.7203	0.0041388	-0.10686	0.0033465	-0.10708	0.0020177	0.044572	0.0019474	0.043359	0.0014062	0.030866	0.0012405	-0.61323	0.0056722	-0.15143	0.004926
subfamily	AluJo	Alu	76247	47123	33346	1.618	0.089701	0.43432	0.22801	0.0036982	0.088662	0.002616	-0.77365	0.0048046	-0.15482	0.0039026	-0.07491	0.0024375	0.074156	0.0023549	0.066366	0.0016996	0.051373	0.0014968	-0.69874	0.0067022	-0.22898	0.0058529
subfamily	AluJr	Alu	83002	50851	35733	1.6323	0.085308	0.43179	0.18831	0.0034413	0.079522	0.002449	-0.73482	0.0046925	-0.15263	0.0038965	-0.08281	0.0024467	0.074114	0.0023643	0.054572	0.0016729	0.051015	0.0015029	-0.65201	0.0066076	-0.22675	0.0058856
subfamily	AluJr4	Alu	19796	16649	14338	1.189	0.095261	0.42039	0.091886	0.0049887	0.011959	0.003467	-0.62014	0.0075798	-0.070008	0.0059399	-0.1569	0.003548	0.0086497	0.0033974	-0.0054026	0.0025074	0.0021281	0.0021646	-0.46324	0.010288	-0.078657	0.0086931
subfamily	AluSc	Alu	33894	28051	23846	1.2083	0.08399	0.42054	0.070074	0.0041554	0.044804	0.0027465	-0.53631	0.0062547	-0.087455	0.0047907	-0.13859	0.0029261	0.037157	0.0028059	-0.0074707	0.002066	0.023492	0.0017486	-0.39772	0.0085667	-0.12461	0.007161
